koi_id,npl,rstar,mstar,limbdark_1,limbdark_2,epoch,period,prade,prade_err3m,prade_err2m,prade_err1m,prade_err1p,prade_err2p,prade_err3p,impact,impact_err3m,impact_err2m,impact_err1m,impact_err1p,impact_err2p,impact_err3p,logsw4_0,logw0_0,logq_0,logsw4_1,logw0_1,logq_1,logsw4_2,logw0_2,logq_2,logsw4_3,logw0_3,logq_3
K01355,1.0,1.60357,0.9518,0.41907,0.1916,132.0987,1.36656,10.10575,9.39929,9.49136,9.77787,10.42463,10.77685,11.02656,0.60215,0.51748,0.55274,0.57858,0.62174,0.63896,0.65918,-14.00251,-14.00251,-14.00251,-13.81337,-13.81337,-13.81337,-14.24962,-14.24962,-14.24962,-5.50328,-5.50328,-5.50328
K01560,1.0,1.20084,1.13474,0.32537,0.47792,146.24114,31.56908,11.55672,10.31796,10.74589,11.15258,12.01733,12.4626,12.7691,0.63619,0.54824,0.57429,0.60849,0.66195,0.68262,0.6964,-14.83838,-14.83838,-14.83838,-15.6626,-15.6626,-15.6626,-14.22572,-14.22572,-14.22572,-15.75176,-15.75176,-15.75176
K01772,1.0,0.65939,0.655,0.67174,0.16726,204.29555,120.00438,4.72777,4.23422,4.33492,4.48154,4.98233,5.22257,5.38891,0.33931,0.00594,0.0275,0.17673,0.43708,0.50207,0.54539,-14.5646,-14.5646,-14.5646,-10.35563,-10.35563,-10.35563,-11.94448,-11.94448,-11.94448,-13.04777,-13.04777,-13.04777
K01582,1.0,1.15412,0.77526,0.81112,-0.26945,262.14528,186.43609,9.45416,8.19646,8.73707,9.09199,9.79617,10.04717,10.25824,0.60482,0.42708,0.51849,0.56838,0.6342,0.65792,0.67651,0.0,0.0,0.0,-12.17264,-12.17264,-12.17264,0.0,0.0,0.0,-4.7011,-4.7011,-4.7011
K01209,1.0,1.04918,1.06476,0.44371,0.01959,274.21076,272.08776,5.84667,5.12903,5.30782,5.49546,6.3718,6.86764,7.13892,0.34979,0.00045,0.01568,0.13312,0.49252,0.57429,0.61024,0.0,0.0,0.0,-12.06869,-12.06869,-12.06869,-12.40543,-12.40543,-12.40543,-16.06295,-16.06295,-16.06295
K01552,1.0,0.77374,0.74809,0.60479,0.26079,387.50087,77.63417,9.43713,8.97759,9.1107,9.26144,9.65143,9.87707,10.10626,0.14247,0.00097,0.00677,0.04435,0.23728,0.31659,0.3494,-13.73581,-13.73581,-13.73581,-12.06015,-12.06015,-12.06015,-14.89003,-14.89003,-14.89003,-12.23787,-12.23787,-12.23787
K01328,1.0,0.86905,0.84717,0.48563,0.06563,211.02061,80.96666,5.0027,2.50282,3.23087,4.31102,5.55636,6.05663,6.51808,0.85968,0.2907,0.63029,0.79883,0.8888,0.90664,0.9189,-13.37964,-13.37964,-13.37964,-11.30972,-11.30972,-11.30972,-10.50274,-10.50274,-10.50274,-12.67595,-12.67595,-12.67595
K02577,1.0,1.4329,1.41957,0.56327,0.33456,143.52906,18.55608,4.20437,3.7021,3.89253,4.03698,4.39471,4.60483,4.83595,0.74611,0.69484,0.71263,0.72962,0.76218,0.77732,0.79113,-3.55734,-3.55734,-3.55734,-3.27624,-3.27624,-3.27624,-4.10666,-4.10666,-4.10666,-3.6615,-3.6615,-3.6615
K03811,1.0,1.40858,0.92435,0.11621,-0.0028,196.54055,290.14108,7.51296,6.87972,7.07863,7.28834,7.75571,8.01547,8.18305,0.09813,0.00046,0.00476,0.0313,0.19289,0.28914,0.37192,-23.94724,-23.94724,-23.94724,-13.20579,-13.20579,-13.20579,-13.41929,-13.41929,-13.41929,-13.71614,-13.71614,-13.71614
K00918,1.0,0.90658,0.75901,0.67608,0.27163,151.79396,39.64383,11.28944,10.74004,11.00628,11.16618,11.39133,11.49905,11.58982,0.48336,0.41958,0.44226,0.46485,0.49748,0.51096,0.52275,-1.48231,-1.48231,-1.48231,-1.57514,-1.57514,-1.57514,-1.95592,-1.95592,-1.95592,-0.95691,-0.95691,-0.95691
K06774,1.0,1.17529,1.05102,0.252,0.3826,170.5311,1.33705,6.65131,5.91189,6.11993,6.39898,6.90666,7.1974,7.47673,0.73978,0.66069,0.69301,0.71813,0.7581,0.77486,0.79006,-11.20023,-11.20023,-11.20023,0.0,0.0,0.0,-10.61621,-10.61621,-10.61621,-10.69479,-10.69479,-10.69479
K04007,1.0,1.10356,1.16021,0.38255,0.1932,140.41682,11.49263,8.85122,8.06164,8.36311,8.5983,9.10349,9.34785,9.61239,0.73111,0.6812,0.7023,0.71763,0.74249,0.75439,0.76488,-14.26601,-14.26601,-14.26601,-14.69655,-14.69655,-14.69655,-16.55374,-16.55374,-16.55374,-13.92972,-13.92972,-13.92972
K01856,1.0,0.77938,0.87898,0.04345,0.9167,132.11638,0.85739,4.2957,4.08776,4.14721,4.22042,4.38072,4.47286,4.53942,0.7991,0.77561,0.7842,0.7914,0.8083,0.81675,0.82326,-11.30321,-11.30321,-11.30321,-8.40071,-8.40071,-8.40071,-10.53889,-10.53889,-10.53889,-5.25062,-5.25062,-5.25062
K00902,1.0,0.66475,0.61522,0.31258,0.61965,134.03416,4.4171,4.69725,4.34324,4.43994,4.55823,4.83526,5.00508,5.10539,0.38993,0.18735,0.25493,0.32703,0.44256,0.49202,0.52921,-1.4782,-1.4782,-1.4782,-1.74273,-1.74273,-1.74273,-0.71984,-0.71984,-0.71984,-1.7218,-1.7218,-1.7218
K01503,1.0,1.1554,0.95071,0.38711,0.43496,381.31365,150.25285,4.44858,3.65478,3.81817,4.02248,5.06585,5.65191,6.08102,0.43471,0.00307,0.03258,0.19533,0.58892,0.68007,0.72981,-13.84208,-13.84208,-13.84208,-15.25489,-15.25489,-15.25489,-16.95452,-16.95452,-16.95452,-14.17613,-14.17613,-14.17613
K05124,1.0,0.84869,0.95598,0.60906,0.02098,347.64553,276.87997,12.11745,7.47678,8.05699,9.21665,19.70223,28.8786,32.19572,0.43296,0.00351,0.0435,0.22141,0.6336,0.81034,0.89598,-15.99892,-15.99892,-15.99892,-19.43088,-19.43088,-19.43088,-18.94766,-18.94766,-18.94766,-19.98539,-19.98539,-19.98539
K00797,1.0,0.78805,0.73165,0.61185,-0.05665,173.25173,10.18159,7.85467,5.22996,5.86782,6.72621,8.92884,10.00473,10.96984,0.97785,0.92743,0.93897,0.95773,0.99325,0.99881,0.99992,-15.35224,-15.35224,-15.35224,-15.28709,-15.28709,-15.28709,-15.54095,-15.54095,-15.54095,-15.00143,-15.00143,-15.00143
K00855,1.0,0.93757,0.76426,0.35692,0.42282,138.56436,41.40831,8.44731,7.91768,8.06351,8.23364,8.68571,8.905,9.00672,0.24984,0.0025,0.03366,0.13969,0.32405,0.37312,0.39744,-12.61728,-12.61728,-12.61728,-14.05966,-14.05966,-14.05966,-13.4458,-13.4458,-13.4458,-14.33448,-14.33448,-14.33448
K01458,1.0,1.2996,0.94022,0.81462,0.13561,360.38285,8.98128,7.36711,6.64161,6.83533,7.06701,7.88334,8.40894,8.79695,0.23764,0.00349,0.01961,0.0893,0.38639,0.50004,0.55602,-104.1303,-104.1303,-104.1303,-108.87566,-108.87566,-108.87566,-9.22838,-9.22838,-9.22838,-11.1622,-11.1622,-11.1622
K01455,1.0,1.43759,1.10362,0.41463,0.20636,357.79625,15.06804,4.28965,3.68142,3.85227,4.04546,4.66975,5.0963,5.60376,0.25725,0.00356,0.01586,0.08821,0.44109,0.56616,0.6598,-14.05083,-14.05083,-14.05083,-11.45329,-11.45329,-11.45329,0.0,0.0,0.0,-13.19231,-13.19231,-13.19231
K02474,1.0,0.83948,0.66889,0.27011,0.53104,306.58382,176.84443,4.99588,3.83272,4.03546,4.50071,5.47667,5.98681,6.37189,0.51538,0.01227,0.10262,0.37126,0.60043,0.65861,0.70886,-3.51423,-3.51423,-3.51423,-14.53606,-14.53606,-14.53606,-3.62211,-3.62211,-3.62211,-15.78112,-15.78112,-15.78112
K05745,1.0,1.01029,0.93948,0.31936,0.57831,138.13063,11.3742,4.78991,4.34051,4.49619,4.64564,4.94915,5.0915,5.1885,0.59665,0.46274,0.52324,0.56347,0.62978,0.65548,0.67413,-13.57526,-13.57526,-13.57526,-13.20648,-13.20648,-13.20648,-13.80833,-13.80833,-13.80833,-13.75305,-13.75305,-13.75305
