,id_starname,id_kic,id_koicand,id_kepler_name,koi_disposition,koi_period,koi_period_err1,koi_period_err2,koi_time0,koi_time0_err1,koi_time0_err2,koi_impact,koi_impact_err1,koi_impact_err2,koi_duration,koi_duration_err1,koi_duration_err2,koi_ingress,koi_ingress_err1,koi_ingress_err2,koi_depth,koi_depth_err1,koi_depth_err2,koi_ror,koi_ror_err1,koi_ror_err2,koi_srho,koi_srho_err1,koi_srho_err2,koi_prad,koi_prad_err1,koi_prad_err2,koi_sma,koi_sma_err1,koi_sma_err2,koi_teq,koi_teq_err1,koi_teq_err2,koi_insol,koi_insol_err1,koi_insol_err2,koi_dor,koi_dor_err1,koi_dor_err2,koi_max_mult_ev,koi_model_snr,koi_count,koi_num_transits,koi_steff,koi_steff_err1,koi_steff_err2,koi_slogg,koi_slogg_err1,koi_slogg_err2,koi_smet,koi_smet_err1,koi_smet_err2,koi_srad,koi_srad_err1,koi_srad_err2,koi_smass,koi_smass_err1,koi_smass_err2,koi_sage,koi_sage_err1,koi_sage_err2,koi_sparprov,kic_kepmag,kic_jmag,kic_hmag,kic_kmag,cks_fp,cks_steff,cks_steff_err1,cks_steff_err2,cks_slogg,cks_slogg_err1,cks_slogg_err2,cks_smet,cks_smet_err1,cks_smet_err2,cks_svsini,cks_svsini_err1,cks_svsini_err2,iso_steff,iso_steff_err1,iso_steff_err2,iso_slogg,iso_slogg_err1,iso_slogg_err2,iso_smet,iso_smet_err1,iso_smet_err2,iso_srad,iso_srad_err1,iso_srad_err2,iso_smass,iso_smass_err1,iso_smass_err2,iso_sage,iso_sage_err1,iso_sage_err2,iso_slogage,iso_slogage_err1,iso_slogage_err2,iso_sparallax,iso_sparallax_err1,iso_sparallax_err2,iso_prad,iso_prad_err1,iso_prad_err2,iso_sma,iso_sma_err1,iso_sma_err2,iso_insol,iso_insol_err1,iso_insol_err2,iso_teq,iso_teq_err1,iso_teq_err2,exo_quadld_u1,exo_quadld_u2
783,K01151,8280511,K01151.02,Kepler-271 c,CONFIRMED,7.41086267,3.305E-05,-3.305E-05,2454968.753,0.00354,-0.00354,0.3484,0.1189,-0.3484,3.2769,0.0983,-0.0983,,,,130.6,5.4,-5.4,0.010479,0.000264,-0.000446,1.51935,0.40981,-0.45374,1.02,0.17,-0.09,0.0697,,,872,,,136.61,65.5,-31.01,16.4,4.4,-4.4,22.378819,26.1,5,,5516,122,-96,4.448,0.085,-0.118,-0.2,0.18,-0.14,0.895,0.147,-0.08,0.82,0.069,-0.039,,,,stellar_q1_q16,13.404,12.198,11.819,11.745,False,5469.9,60,-60,4.522,0.1,-0.1,-0.174,0.04,-0.04,0.6,1,-1,5466,65,-63,4.502,0.056,-0.073,-0.166,0.043,-0.043,0.86,0.0682043986851,-0.050048376597,0.856,0.0328191163805,-0.0336763180885,7.24435960075,4.04128586366,-4.07336011903,9.86,0.192526402901,-0.358803828956,2.5,0.16,-0.18,0.984514607884,0.0850643143256,-0.0850643143256,0.070679617836,0.00118993311881,-0.00118993311881,119.138912347,20.0693569894,-20.0693569894,841.931839909,35.3174400693,-35.3174400693,0.4441806100,0.2372594700
784,K01151,8280511,K01151.03,Kepler-271 d,CONFIRMED,5.24972541,4.062E-05,-4.062E-05,2454968.465,0.00611,-0.00611,0.1669,0.2838,-0.1667,2.766,0.169,-0.169,,,,63.4,5.1,-5.1,0.007222,0.000442,-0.000332,2.05485,0.28823,-0.97585,0.71,0.11,-0.07,0.0554,,,978,,,216.24,103.67,-49.09,14.41,2,-2,12.842544,13.6,5,,5516,122,-96,4.448,0.085,-0.118,-0.2,0.18,-0.14,0.895,0.147,-0.08,0.82,0.069,-0.039,,,,stellar_q1_q16,13.404,12.198,11.819,11.745,False,5469.9,60,-60,4.522,0.1,-0.1,-0.174,0.04,-0.04,0.6,1,-1,5466,65,-63,4.502,0.056,-0.073,-0.166,0.043,-0.043,0.86,0.0682043986851,-0.050048376597,0.856,0.0328191163805,-0.0336763180885,7.24435960075,4.04128586366,-4.07336011903,9.86,0.192526402901,-0.358803828956,2.5,0.16,-0.18,0.677416240859,0.0649637413534,-0.0649637413534,0.0561687088568,0.000936328030315,-0.000936328030315,188.701051207,31.7413850013,-31.7413850013,944.511186523,39.5984997307,-39.5984997307,0.4441806100,0.2372594700
785,K01151,8280511,K01151.01,Kepler-271 b,CONFIRMED,10.43547805,2.7E-05,-2.7E-05,2454967.823,0.00232,-0.00232,0.1646,0.2732,-0.1646,3.4047,0.0607,-0.0607,,,,220.5,6.2,-6.2,0.013466,0.000409,-0.000292,2.23222,0.26787,-0.57512,1.32,0.21,-0.12,0.0875,,,778,,,86.68,41.56,-19.68,23.42,2.8,-2.8,30.813272,36.9,5,,5516,122,-96,4.448,0.085,-0.118,-0.2,0.18,-0.14,0.895,0.147,-0.08,0.82,0.069,-0.039,,,,stellar_q1_q16,13.404,12.198,11.819,11.745,False,5469.9,60,-60,4.522,0.1,-0.1,-0.174,0.04,-0.04,0.6,1,-1,5466,65,-63,4.502,0.056,-0.073,-0.166,0.043,-0.043,0.86,0.0682043986851,-0.050048376597,0.856,0.0328191163805,-0.0336763180885,7.24435960075,4.04128586366,-4.07336011903,9.86,0.192526402901,-0.358803828956,2.5,0.16,-0.18,1.26383783912,0.106413491723,-0.106413491723,0.0887610607465,0.00148223342021,-0.00148223342021,75.4399396669,12.8491613001,-12.8491613001,751.041368344,31.9723635282,-31.9723635282,0.4441806100,0.2372594700
836,K01278,8609450,K01278.01,Kepler-282 d,CONFIRMED,24.80568031,9.136E-05,-9.136E-05,2454978.075,0.00264,-0.00264,0.1259,0.2931,-0.1258,6.1513,0.0902,-0.0902,,,,664.7,18,-18,0.02374,0.000649,-0.000352,0.94311,0.07825,-0.23799,2.3,0.94,-0.18,0.1648,,,624,,,35.94,43.13,-8.85,31.3,2.6,-2.6,34.035873,37.9,4,,6102,163,-178,4.528,0.034,-0.298,-0.38,0.28,-0.3,0.887,0.361,-0.07,0.968,0.101,-0.12,,,,stellar_q1_q16,15.204,14.08,13.718,13.65,False,5656.3,60,-60,4.299,0.1,-0.1,-0.199,0.04,-0.04,0.7,1,-1,5659,64,-65,4.337,0.082,-0.088,-0.19,0.044,-0.044,1.055,0.127754491115,-0.0973150039819,0.89,0.0357468879764,-0.0331789089634,10.0230523808,1.79156266242,-2.14352112533,10.001,0.0714195755386,-0.104499617436,0.831,0.084,-0.09,2.73423327493,0.298976291634,-0.298976291634,0.160223967551,0.00266216850796,-0.00266216850796,39.799688445,8.79916648597,-8.79916648597,640.078801507,35.3315938711,-35.3315938711,0.4026342700,0.2616421100
837,K01278,8609450,K01278.02,Kepler-282 e,CONFIRMED,44.3470995,0.0001632,-0.0001632,2454994.319,0.00303,-0.00303,0.092,0.3263,-0.0918,6.399,0.103,-0.103,,,,843.8,22,-22,0.026731,0.000738,-0.000383,1.52699,0.03158,-0.53421,2.59,1.05,-0.21,0.2427,,,515,,,16.57,19.89,-4.08,54.15,1.1,-1.1,33.537052,40.5,4,,6102,163,-178,4.528,0.034,-0.298,-0.38,0.28,-0.3,0.887,0.361,-0.07,0.968,0.101,-0.12,,,,stellar_q1_q16,15.204,14.08,13.718,13.65,False,5656.3,60,-60,4.299,0.1,-0.1,-0.199,0.04,-0.04,0.7,1,-1,5659,64,-65,4.337,0.082,-0.088,-0.19,0.044,-0.044,1.055,0.127754491115,-0.0973150039819,0.89,0.0357468879764,-0.0331789089634,10.0230523808,1.79156266242,-2.14352112533,10.001,0.0714195755386,-0.104499617436,0.831,0.084,-0.09,3.07623769962,0.330869685099,-0.330869685099,0.23591480008,0.00391926626302,-0.00391926626302,18.2902003124,4.04545965636,-4.04545965636,527.009133051,29.0259744487,-29.0259744487,0.4026342700,0.2616421100
838,K01278,8609450,K01278.03,Kepler-282 b,CONFIRMED,9.2206889,0.0001493,-0.0001493,2454971.019,0.0157,-0.0157,0.1747,0.2658,-0.1744,4.569,0.275,-0.275,,,,136.7,12.8,-12.8,0.010781,0.00045,-0.000781,0.80622,0.07329,-0.36681,1.04,0.43,-0.08,0.0852,,,868,,,134.48,161.35,-33.13,15.36,1.4,-1.4,10.570636,11.4,4,,6102,163,-178,4.528,0.034,-0.298,-0.38,0.28,-0.3,0.887,0.361,-0.07,0.968,0.101,-0.12,,,,stellar_q1_q16,15.204,14.08,13.718,13.65,False,5656.3,60,-60,4.299,0.1,-0.1,-0.199,0.04,-0.04,0.7,1,-1,5659,64,-65,4.337,0.082,-0.088,-0.19,0.044,-0.044,1.055,0.127754491115,-0.0973150039819,0.89,0.0357468879764,-0.0331789089634,10.0230523808,1.79156266242,-2.14352112533,10.001,0.0714195755386,-0.104499617436,0.831,0.084,-0.09,1.2399044361,0.148856694465,-0.148856694465,0.0828026938125,0.00137263815011,-0.00137263815011,148.526048469,32.771861898,-32.771861898,889.639756827,48.8648515987,-48.8648515987,0.4026342700,0.2616421100
839,K01278,8609450,K01278.04,Kepler-282 c,CONFIRMED,13.639525,0.0002316,-0.0002316,2454974.737,0.0138,-0.0138,0.5004,0.0338,-0.4402,5.449,0.286,-0.286,,,,179,14.2,-14.2,0.012608,0.000355,-0.000871,0.4863,0.29529,-0.10107,1.22,0.5,-0.1,0.1106,,,762,,,79.81,95.74,-19.66,16.85,5.1,-5.1,12.312425,13.2,4,,6102,163,-178,4.528,0.034,-0.298,-0.38,0.28,-0.3,0.887,0.361,-0.07,0.968,0.101,-0.12,,,,stellar_q1_q16,15.204,14.08,13.718,13.65,False,5656.3,60,-60,4.299,0.1,-0.1,-0.199,0.04,-0.04,0.7,1,-1,5659,64,-65,4.337,0.082,-0.088,-0.19,0.044,-0.044,1.055,0.127754491115,-0.0973150039819,0.89,0.0357468879764,-0.0331789089634,10.0230523808,1.79156266242,-2.14352112533,10.001,0.0714195755386,-0.104499617436,0.831,0.084,-0.09,1.45405566604,0.171573782674,-0.171573782674,0.107554224204,0.00179560050555,-0.00179560050555,88.3516102019,19.5447049253,-19.5447049253,781.298774942,43.1402003144,-43.1402003144,0.4026342700,0.2616421100
851,K01306,10858691,K01306.01,Kepler-286 b,CONFIRMED,1.796324389,5.868E-06,-5.868E-06,2454966.334,0.00265,-0.00265,0.2316,0.2431,-0.2315,1.9923,0.0856,-0.0856,,,,226.8,11.7,-11.7,0.013859,0.000653,-0.000359,1.86513,0.48761,-0.58327,1.37,0.59,-0.11,0.0289,,,1476,,,1122.23,1431.96,-285.74,6.83,1.8,-1.8,17.565542,22.4,4,,5970,163,-182,4.521,0.034,-0.307,-0.18,0.25,-0.28,0.908,0.39,-0.074,0.996,0.123,-0.123,,,,stellar_q1_q16,15.587,14.388,14.058,14.121,False,5559.2,60,-60,4.462,0.1,-0.1,-0.253,0.04,-0.04,0,1,-1,5559,64,-64,4.464,0.07,-0.081,-0.241,0.043,-0.043,0.892,0.0839182077978,-0.0616381829713,0.847,0.033585169346,-0.0327255802088,8.91250938134,3.23531570859,-4.32791996837,9.95,0.134498530116,-0.288699552833,0.8,0.062,-0.069,1.35039613958,0.1212334217,-0.1212334217,0.0273773136752,0.000457237990919,-0.000457237990919,909.581379253,157.253313068,-157.253313068,1399.50326618,60.2142805657,-60.2142805657,0.4170390500,0.2535980300
852,K01306,10858691,K01306.02,Kepler-286 c,CONFIRMED,3.46808239,1.535E-05,-1.535E-05,2454969.007,0.00328,-0.00328,0.1415,0.3083,-0.1415,2.366,0.106,-0.106,,,,262.5,14.3,-14.3,0.014856,0.000598,-0.000462,2.25157,0.25182,-0.87227,1.47,0.64,-0.12,0.0448,,,1186,,,467,595.9,-118.9,11.27,1.3,-1.3,18.366089,20.2,4,,5970,163,-182,4.521,0.034,-0.307,-0.18,0.25,-0.28,0.908,0.39,-0.074,0.996,0.123,-0.123,,,,stellar_q1_q16,15.587,14.388,14.058,14.121,False,5559.2,60,-60,4.462,0.1,-0.1,-0.253,0.04,-0.04,0,1,-1,5559,64,-64,4.464,0.07,-0.081,-0.241,0.043,-0.043,0.892,0.0839182077978,-0.0616381829713,0.847,0.033585169346,-0.0327255802088,8.91250938134,3.23531570859,-4.32791996837,9.95,0.134498530116,-0.288699552833,0.8,0.062,-0.069,1.44851087164,0.127884297614,-0.127884297614,0.0424362218753,0.000711900882215,-0.000711900882215,380.523086465,65.8025521236,-65.8025521236,1125.53441503,48.4484153704,-48.4484153704,0.4170390500,0.2535980300
853,K01306,10858691,K01306.03,Kepler-286 d,CONFIRMED,5.91428767,3.407E-05,-3.407E-05,2454966.489,0.00453,-0.00453,0.3214,0.1088,-0.3213,2.678,0.144,-0.144,,,,259.5,17.7,-17.7,0.014884,0.00059,-0.000661,2.32177,0.6316,-0.7933,1.48,0.63,-0.12,0.064,,,992,,,228.83,291.99,-58.26,16.25,4.4,-4.4,11.818055,16.3,4,,5970,163,-182,4.521,0.034,-0.307,-0.18,0.25,-0.28,0.908,0.39,-0.074,0.996,0.123,-0.123,,,,stellar_q1_q16,15.587,14.388,14.058,14.121,False,5559.2,60,-60,4.462,0.1,-0.1,-0.253,0.04,-0.04,0,1,-1,5559,64,-64,4.464,0.07,-0.081,-0.241,0.043,-0.043,0.892,0.0839182077978,-0.0616381829713,0.847,0.033585169346,-0.0327255802088,8.91250938134,3.23531570859,-4.32791996837,9.95,0.134498530116,-0.288699552833,0.8,0.062,-0.069,1.44693932162,0.132650410806,-0.132650410806,0.0605882932356,0.00100582744578,-0.00100582744578,185.138368748,32.262467209,-32.262467209,940.021169848,40.6874483065,-40.6874483065,0.4170390500,0.2535980300
