koi_id,npl,lcq_count,scq_count,total_count,runtime_score,bad_download
K00314,3,6,12,18,6913,0
K00315,1,9,9,18,682,0
K00316,3,9,8,17,4540,0
K00317,2,6,11,17,3933,0
K00318,1,6,12,18,833,0
K00319,1,13,5,18,307,0
K00321,2,6,12,18,20435,0
K00323,1,10,8,18,3805,0
K00327,2,16,2,18,2144,0
K00330,2,15,2,17,4358,0
K00331,2,14,1,15,577,0
K00332,2,14,1,15,1284,0
K00333,1,16,2,18,506,0
K00337,2,13,1,14,214,0
K00338,2,13,2,15,3012,0
K00339,3,12,2,14,3898,0
K00341,2,8,7,15,6801,0
K00343,3,11,7,18,14291,0
K00344,1,16,2,18,168,0
K00345,1,12,3,15,299,0
K00346,1,14,1,15,302,0
K00348,1,15,2,17,233,0
K00349,1,15,0,15,92,0
K00350,1,13,2,15,496,0
K00351,7,7,7,14,5719,0
K00352,2,16,1,17,403,0
K00353,3,16,1,17,522,0
K00354,2,9,8,17,4364,0
K00355,1,16,1,17,833,0
K00356,1,16,1,17,2237,0
K00361,1,16,1,17,1258,0
K00365,2,10,8,18,444,0
K00366,1,12,6,18,224,0
K00367,1,9,5,14,442,0
K00369,2,17,1,18,1120,0
K00370,2,7,11,18,1984,0
K00372,1,12,6,18,128,0
K00373,1,16,1,17,29,0
K00374,1,7,11,18,168,0
K00375,1,17,1,18,2,0
K00377,3,6,11,17,21029,0
K00379,1,16,2,18,291,0
K00384,1,13,2,15,1275,0
K00385,1,17,1,18,315,0
K00386,2,11,3,14,396,0
K00387,1,17,1,18,300,0
K00388,1,16,1,17,662,0
K00392,2,15,2,17,723,0
K00393,1,13,1,14,178,0
K00396,1,17,0,17,103,0
K00398,3,8,9,17,20653,0
K00401,3,15,2,17,383,0
K00408,4,9,8,17,11908,0
K00409,1,17,0,17,114,0
K00412,1,13,0,13,278,0
K00413,2,15,2,17,705,0
K00415,1,17,0,17,9,0
K00416,4,14,3,17,1841,0
K00417,1,16,1,17,211,0
K00420,1,17,0,17,251,0
K00421,1,17,0,17,339,0
K00422,1,17,0,17,1,0
K00423,2,11,3,14,447,0
K00426,1,17,0,17,92,0
K00427,3,15,2,17,476,0
K00428,1,14,0,14,181,0
K00429,1,14,0,14,144,0
K00430,2,13,1,14,715,0
K00431,2,16,1,17,303,0
K00432,1,17,0,17,287,0
K00433,2,10,4,14,2887,0
K00435,6,12,5,17,6470,0
K00436,1,14,0,14,6,0
K00437,1,17,0,17,95,0
K00438,2,16,1,17,763,0
K00439,1,17,0,17,794,0
K00440,2,15,2,17,1751,0
K00442,3,17,0,17,1198,0
K00443,1,17,0,17,93,0
K00444,1,17,0,17,128,0
K00446,2,6,7,13,1811,0
K00448,2,7,10,17,3304,0
K00452,1,17,0,17,407,0
K00454,1,13,0,13,39,0
K00456,2,10,7,17,5952,0
K00457,2,15,2,17,2294,0
K00458,1,17,0,17,28,0
K00459,2,17,0,17,295,0
K00460,2,17,0,17,126,0
K00463,1,15,2,17,357,0
K00464,2,7,10,17,5544,0
K00466,1,17,0,17,160,0
K00467,1,17,0,17,83,0
K00468,1,17,0,17,68,0
K00469,1,15,2,17,644,0
K00470,1,14,0,14,331,0
K00471,2,17,0,17,263,0
K00472,1,17,0,17,356,0
K00473,1,11,3,14,699,0
K00474,4,16,1,17,1366,0
K00475,2,14,3,17,1725,0
