koi_id,npl,rstar,mstar,limbdark_1,limbdark_2,epoch,period,prade,prade_err3m,prade_err2m,prade_err1m,prade_err1p,prade_err2p,prade_err3p,impact,impact_err3m,impact_err2m,impact_err1m,impact_err1p,impact_err2p,impact_err3p,logsw4_0,logw0_0,logq_0,logsw4_1,logw0_1,logq_1,logsw4_2,logw0_2,logq_2,logsw4_3,logw0_3,logq_3
K02018,2.0,1.27293,1.19003,0.38136,0.35809,140.4557,11.96316,2.00161,1.78007,1.84268,1.92051,2.08212,2.15795,2.21991,0.11275,0.00018,0.00566,0.04006,0.21997,0.34474,0.45297,-11.45489,-11.45489,-11.45489,-16.76657,-16.76657,-16.76657,-15.12693,-15.12693,-15.12693,-14.04063,-14.04063,-14.04063
K06191,2.0,1.03652,1.15897,0.37127,0.12014,139.05381,13.37886,1.30405,1.10391,1.16889,1.23247,1.3797,1.44785,1.5236,0.24725,0.00147,0.01329,0.09358,0.3716,0.47161,0.5745,-13.0582,-13.0582,-13.0582,-13.56534,-13.56534,-13.56534,-13.90955,-13.90955,-13.90955,-12.88442,-12.88442,-12.88442
K06191,2.0,1.03652,1.15897,0.37127,0.12014,133.64471,16.76489,1.29133,1.09871,1.15729,1.22089,1.36333,1.4333,1.50055,0.18717,0.00101,0.00926,0.0639,0.3505,0.48618,0.58104,-13.0582,-13.0582,-13.0582,-13.56534,-13.56534,-13.56534,-13.90955,-13.90955,-13.90955,-12.88442,-12.88442,-12.88442
K02078,2.0,0.62823,0.65533,1.17513,-0.28119,133.13723,10.05889,1.93663,1.70964,1.77654,1.85991,2.02029,2.12143,2.2094,0.63858,0.51074,0.55511,0.59805,0.67564,0.70615,0.72848,-12.96144,-12.96144,-12.96144,-13.43185,-13.43185,-13.43185,-11.2545,-11.2545,-11.2545,-12.03906,-12.03906,-12.03906
K02078,2.0,0.62823,0.65533,1.17513,-0.28119,141.08985,13.42756,1.55204,1.40304,1.44275,1.49279,1.63027,1.72059,1.787,0.24772,0.00114,0.01896,0.09739,0.37624,0.4694,0.55162,-12.96144,-12.96144,-12.96144,-13.43185,-13.43185,-13.43185,-11.2545,-11.2545,-11.2545,-12.03906,-12.03906,-12.03906
K03318,2.0,1.17051,1.16701,0.55187,0.09266,449.01431,13.45266,2.37439,1.93373,2.04769,2.20238,2.55105,2.71666,2.865,0.1867,0.00095,0.00788,0.05905,0.37459,0.53215,0.61897,-8.77305,-8.77305,-8.77305,-11.03058,-11.03058,-11.03058,-8.13257,-8.13257,-8.13257,-10.63861,-10.63861,-10.63861
K03318,2.0,1.17051,1.16701,0.55187,0.09266,450.97077,23.41769,3.9219,3.40949,3.57379,3.73953,4.13676,4.4054,4.58339,0.22206,0.00161,0.01626,0.0801,0.3741,0.48211,0.56357,-8.77305,-8.77305,-8.77305,-11.03058,-11.03058,-11.03058,-8.13257,-8.13257,-8.13257,-10.63861,-10.63861,-10.63861
K01783,2.0,1.1783,1.0478,0.36678,0.34217,136.62505,10.06916,3.76675,3.51046,3.55951,3.65003,3.87768,3.98989,4.05697,0.36126,0.1668,0.19934,0.26843,0.42938,0.48266,0.5106,-6.7312,-6.7312,-6.7312,-15.38675,-15.38675,-15.38675,-18.5645,-18.5645,-18.5645,-17.31059,-17.31059,-17.31059
K01783,2.0,1.1783,1.0478,0.36678,0.34217,137.95144,29.05892,2.88722,2.68045,2.72511,2.7983,2.97687,3.0548,3.11248,0.30178,0.0084,0.03455,0.16834,0.3855,0.44593,0.47471,-6.7312,-6.7312,-6.7312,-15.38675,-15.38675,-15.38675,-18.5645,-18.5645,-18.5645,-17.31059,-17.31059,-17.31059
K04526,2.0,1.30269,1.03474,0.54426,0.02508,132.3856,23.55814,0.35288,0.0331,0.03518,0.06466,0.9716,1.59688,3.31036,0.53469,0.00366,0.02916,0.18984,0.85839,0.98389,0.99929,-13.92668,-13.92668,-13.92668,-15.19256,-15.19256,-15.19256,-11.26571,-11.26571,-11.26571,-15.69493,-15.69493,-15.69493
K04526,2.0,1.30269,1.03474,0.54426,0.02508,150.14681,47.64417,1.25556,0.03446,0.05338,0.67094,1.62605,2.53025,4.32573,0.41168,0.00208,0.02052,0.13531,0.76257,0.97052,0.99596,-13.92668,-13.92668,-13.92668,-15.19256,-15.19256,-15.19256,-11.26571,-11.26571,-11.26571,-15.69493,-15.69493,-15.69493
K00386,2.0,1.04289,1.19429,0.34638,0.30772,133.65571,11.07416,2.21831,2.05267,2.09536,2.15329,2.28588,2.34695,2.39571,0.45878,0.31884,0.35832,0.41344,0.50076,0.53141,0.55906,-5.27861,-5.27861,-5.27861,-5.07043,-5.07043,-5.07043,-14.49231,-14.49231,-14.49231,-2.87573,-2.87573,-2.87573
K00386,2.0,1.04289,1.19429,0.34638,0.30772,133.08756,16.74074,2.42769,2.25901,2.29364,2.36135,2.50003,2.57278,2.62776,0.44762,0.30435,0.34413,0.39824,0.49151,0.52575,0.56361,-5.27861,-5.27861,-5.27861,-5.07043,-5.07043,-5.07043,-14.49231,-14.49231,-14.49231,-2.87573,-2.87573,-2.87573
K01945,2.0,0.88758,1.02145,0.63307,0.16696,140.56371,17.45729,2.08276,1.91849,1.96751,2.01787,2.15339,2.24104,2.32158,0.20951,0.00151,0.01374,0.07689,0.32103,0.40626,0.47406,-16.60327,-16.60327,-16.60327,-15.47779,-15.47779,-15.47779,-18.78964,-18.78964,-18.78964,-16.34919,-16.34919,-16.34919
K01945,2.0,0.88758,1.02145,0.63307,0.16696,155.53692,29.48595,1.47937,1.23381,1.3244,1.39932,1.59239,1.71628,1.85945,0.62432,0.43798,0.53664,0.58069,0.74897,0.79543,0.81723,-16.60327,-16.60327,-16.60327,-15.47779,-15.47779,-15.47779,-18.78964,-18.78964,-18.78964,-16.34919,-16.34919,-16.34919
K02153,2.0,1.29412,1.11682,0.60983,-0.10145,142.6272,19.57254,1.68189,1.36427,1.48502,1.58944,1.76796,1.84813,1.91188,0.76657,0.46711,0.59554,0.72143,0.79394,0.81451,0.8301,-15.87515,-15.87515,-15.87515,-18.62267,-18.62267,-18.62267,-16.07466,-16.07466,-16.07466,-16.76611,-16.76611,-16.76611
K02153,2.0,1.29412,1.11682,0.60983,-0.10145,151.88272,27.8901,3.60061,3.29232,3.37559,3.49381,3.7079,3.80725,3.88891,0.42957,0.12497,0.26627,0.36477,0.48183,0.52685,0.55198,-15.87515,-15.87515,-15.87515,-18.62267,-18.62267,-18.62267,-16.07466,-16.07466,-16.07466,-16.76611,-16.76611,-16.76611
K03470,2.0,1.62517,1.18613,0.5305,0.04983,381.08987,90.1055,3.36345,2.73594,2.92365,3.12094,3.62589,3.92785,4.24648,0.34624,0.00138,0.0161,0.1494,0.49265,0.58404,0.65433,-15.55318,-15.55318,-15.55318,-19.14345,-19.14345,-19.14345,-14.50212,-14.50212,-14.50212,-13.88526,-13.88526,-13.88526
K03470,2.0,1.62517,1.18613,0.5305,0.04983,385.91945,188.78522,0.35418,0.03324,0.03663,0.07622,1.18573,2.13219,3.76504,0.54037,0.00141,0.02511,0.18739,0.86888,0.98089,0.99809,-15.55318,-15.55318,-15.55318,-19.14345,-19.14345,-19.14345,-14.50212,-14.50212,-14.50212,-13.88526,-13.88526,-13.88526
K02321,2.0,0.93079,1.06502,0.57406,0.14936,145.14784,21.30507,1.56984,1.38824,1.43498,1.5024,1.64427,1.71149,1.78551,0.31832,0.00595,0.0477,0.18227,0.42344,0.49306,0.54772,-15.97317,-15.97317,-15.97317,-14.4246,-14.4246,-14.4246,-14.63341,-14.63341,-14.63341,-15.14084,-15.14084,-15.14084
K02321,2.0,0.93079,1.06502,0.57406,0.14936,188.75527,62.44713,1.5251,1.27296,1.34334,1.43554,1.61028,1.69462,1.76627,0.43323,0.00322,0.06499,0.28696,0.52434,0.58799,0.65168,-15.97317,-15.97317,-15.97317,-14.4246,-14.4246,-14.4246,-14.63341,-14.63341,-14.63341,-15.14084,-15.14084,-15.14084
K03681,2.0,1.31467,1.10497,0.36466,0.2762,125.75437,23.39261,2.24396,2.12732,2.16042,2.20134,2.27958,2.31914,2.35931,0.30356,0.23913,0.2599,0.28056,0.34872,0.39011,0.39979,-16.58686,-16.58686,-16.58686,-15.7644,-15.7644,-15.7644,-16.45074,-16.45074,-16.45074,-16.05794,-16.05794,-16.05794
K03681,2.0,1.31467,1.10497,0.36466,0.2762,124.9996,38.74287,3.4306,3.25578,3.30968,3.37119,3.48294,3.54342,3.59368,0.12235,0.00084,0.0055,0.03657,0.21659,0.28202,0.30165,-16.58686,-16.58686,-16.58686,-15.7644,-15.7644,-15.7644,-16.45074,-16.45074,-16.45074,-16.05794,-16.05794,-16.05794
