koi_id,npl,rstar,mstar,limbdark_1,limbdark_2,epoch,period,prade,prade_err3m,prade_err2m,prade_err1m,prade_err1p,prade_err2p,prade_err3p,impact,impact_err3m,impact_err2m,impact_err1m,impact_err1p,impact_err2p,impact_err3p,logsw4_0,logw0_0,logq_0,logsw4_1,logw0_1,logq_1,logsw4_2,logw0_2,logq_2,logsw4_3,logw0_3,logq_3
K01355,1.0,1.44308,0.99568,0.41729,0.29318,132.09875,1.36656,8.71247,7.63021,7.98045,8.3192,9.08474,9.42216,9.55483,0.36626,0.00084,0.00758,0.26673,0.43414,0.47563,0.50062,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
K01560,1.0,1.20098,1.13836,0.44122,0.29667,146.24136,31.56907,11.60295,10.2184,10.69909,11.14746,12.04779,12.51492,12.83693,0.63686,0.52343,0.57378,0.60917,0.66037,0.68043,0.70307,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
K01772,1.0,0.65972,0.656,0.75762,0.10594,204.29682,120.00415,4.68542,4.2464,4.32105,4.4558,4.93194,5.15846,5.31401,0.31699,0.0003,0.0177,0.15302,0.41404,0.48889,0.53513,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
K01582,1.0,1.12375,0.80422,0.36333,0.42336,262.14703,186.43489,8.839,7.68238,7.96808,8.38583,9.31174,9.67169,9.9204,0.53969,0.29822,0.38586,0.46962,0.59832,0.63757,0.66092,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
K01209,1.0,1.03896,1.06371,0.46555,0.00854,274.21207,272.08772,5.78097,5.10751,5.26964,5.4628,6.33438,6.88387,7.17664,0.3309,0.00039,0.00624,0.11884,0.48165,0.5858,0.61581,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
K01552,1.0,0.77098,0.75034,0.61076,0.23403,387.50087,77.63418,9.41433,8.94253,9.11128,9.25081,9.58676,9.77706,9.92919,0.12266,0.00083,0.00601,0.03859,0.21095,0.26623,0.28718,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
K01328,1.0,0.84363,0.84946,0.40386,0.09927,211.02047,80.96664,4.80961,2.9779,3.39198,4.13971,5.38228,5.95841,6.51625,0.8498,0.58661,0.68557,0.78858,0.88431,0.90416,0.92071,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
K02577,1.0,1.441,1.41558,0.6702,0.19211,143.53706,18.55591,4.49625,4.08056,4.19554,4.33961,4.67342,4.85381,5.00534,0.74201,0.68316,0.70143,0.72465,0.7593,0.77302,0.78426,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
K03811,1.0,1.37526,0.99377,0.19834,0.00314,196.49513,290.15085,8.36888,7.47667,7.70484,8.02156,8.75232,9.15377,9.65113,0.20844,0.00233,0.01598,0.0814,0.3153,0.38452,0.41623,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
K00918,1.0,0.89029,0.8079,0.41232,0.50679,151.80441,39.64344,11.38098,10.651,10.83564,11.095,11.63759,11.88041,12.01489,0.44034,0.31629,0.36079,0.4042,0.47307,0.50258,0.51963,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
