koi_id,npl,rstar,mstar,limbdark_1,limbdark_2,epoch,period,prade,prade_err3m,prade_err2m,prade_err1m,prade_err1p,prade_err2p,prade_err3p,impact,impact_err3m,impact_err2m,impact_err1m,impact_err1p,impact_err2p,impact_err3p,logsw4_0,logw0_0,logq_0,logsw4_1,logw0_1,logq_1,logsw4_2,logw0_2,logq_2,logsw4_3,logw0_3,logq_3
K07319,1.0,0.58103,0.53728,1.00882,-0.27708,136.40639,17.1684,1.02804,0.78636,0.86685,0.94795,1.11449,1.20657,1.37726,0.21477,0.00098,0.01094,0.07921,0.37664,0.5563,0.78661,-11.2038,-11.2038,-11.2038,-11.98436,-11.98436,-11.98436,-11.6304,-11.6304,-11.6304,-12.46511,-12.46511,-12.46511
K01861,1.0,1.03924,0.98574,0.79223,0.09841,171.07161,3.50089,3.57947,3.10258,3.25701,3.3984,3.84545,4.11942,4.31103,0.87121,0.83666,0.84795,0.85976,0.88205,0.89056,0.89885,-13.41768,-13.41768,-13.41768,-14.06991,-14.06991,-14.06991,-13.32674,-13.32674,-13.32674,-12.65414,-12.65414,-12.65414
K04978,1.0,1.28791,0.87662,0.25345,0.1403,509.88489,339.17196,3.33356,2.30492,2.59346,2.92007,3.93892,4.77713,5.57128,0.37667,0.00293,0.0237,0.1431,0.61573,0.75928,0.80878,-11.27253,-11.27253,-11.27253,-12.89706,-12.89706,-12.89706,0.0,0.0,0.0,0.0,0.0,0.0
K01801,1.0,0.72672,0.80496,0.65194,0.23544,135.1724,14.53247,3.09614,2.76723,2.8567,2.97387,3.25869,3.41734,3.5571,0.82993,0.78104,0.79808,0.81451,0.84294,0.85419,0.86374,-12.98098,-12.98098,-12.98098,-13.70598,-13.70598,-13.70598,-12.66461,-12.66461,-12.66461,-13.10432,-13.10432,-13.10432
K05817,1.0,1.36833,1.23428,0.59875,-0.01739,173.88659,113.09517,1.47432,0.21913,0.67135,1.20012,1.72967,2.17169,3.91306,0.90663,0.02066,0.41767,0.86218,0.93062,0.97197,0.99446,-17.42526,-17.42526,-17.42526,-16.69251,-16.69251,-16.69251,-17.69847,-17.69847,-17.69847,-19.85711,-19.85711,-19.85711
K02115,1.0,0.83809,0.85973,0.39335,0.24744,458.22446,15.72578,2.61141,2.09955,2.26472,2.44448,2.79063,2.95815,3.08381,0.57789,0.13651,0.38466,0.50559,0.63988,0.68428,0.72257,-13.04613,-13.04613,-13.04613,-13.13625,-13.13625,-13.13625,-13.5999,-13.5999,-13.5999,-13.50999,-13.50999,-13.50999
K02992,1.0,0.62404,0.66921,0.88859,-0.14985,203.74554,82.66038,2.05575,1.57821,1.68596,1.8957,2.21004,2.3629,2.48405,0.55939,0.00892,0.17036,0.45723,0.62901,0.6874,0.73457,-12.98449,-12.98449,-12.98449,-15.60136,-15.60136,-15.60136,-12.54452,-12.54452,-12.54452,-13.56491,-13.56491,-13.56491
K04617,1.0,1.39007,1.24886,0.90657,-0.12314,138.13767,27.47755,1.63008,0.94265,1.09943,1.33299,2.28584,3.59146,4.99395,0.92108,0.4632,0.7285,0.83833,0.98076,0.99619,0.99986,-18.92921,-18.92921,-18.92921,-18.06562,-18.06562,-18.06562,-16.18657,-16.18657,-16.18657,-20.64905,-20.64905,-20.64905
K00373,1.0,0.95491,1.00234,0.62232,0.18103,139.29627,135.18917,2.3767,2.13549,2.20562,2.28732,2.47284,2.58709,2.6871,0.78572,0.73047,0.74781,0.76738,0.80394,0.81958,0.83286,-16.67224,-16.67224,-16.67224,-18.9634,-18.9634,-18.9634,-17.64123,-17.64123,-17.64123,-18.33158,-18.33158,-18.33158
K04037,1.0,1.20529,1.19882,0.54108,-0.05159,188.9036,215.95473,3.28439,2.98928,3.07499,3.17623,3.39917,3.51803,3.61052,0.72533,0.65522,0.68137,0.70425,0.74169,0.75824,0.76882,-14.14979,-14.14979,-14.14979,-15.90361,-15.90361,-15.90361,-15.01438,-15.01438,-15.01438,-16.36765,-16.36765,-16.36765
K04343,1.0,0.93001,0.78737,1.56042,-0.68582,149.20816,27.21041,1.22488,0.97904,1.0429,1.11778,1.45202,1.80134,2.19201,0.30582,0.00158,0.02011,0.10238,0.51925,0.66803,0.74847,-15.14383,-15.14383,-15.14383,-15.15189,-15.15189,-15.15189,-17.21843,-17.21843,-17.21843,-15.89462,-15.89462,-15.89462
K02407,1.0,1.45998,1.17385,1.00844,-0.24114,146.37009,17.29382,1.6735,1.31091,1.4166,1.5354,1.82898,1.98476,2.14677,0.41854,0.00117,0.01891,0.16711,0.56108,0.65322,0.74411,-14.53414,-14.53414,-14.53414,-17.06959,-17.06959,-17.06959,-16.54897,-16.54897,-16.54897,-16.88968,-16.88968,-16.88968
K05321,1.0,1.36297,1.29007,0.435,0.13209,148.38941,215.62576,1.81962,1.51298,1.59844,1.71131,1.92546,2.02331,2.11301,0.47867,0.06446,0.23072,0.38923,0.54457,0.6083,0.65552,-13.6035,-13.6035,-13.6035,-14.63927,-14.63927,-14.63927,-16.07189,-16.07189,-16.07189,-16.45996,-16.45996,-16.45996
