koi_id,Teff,Teff_err1,Teff_err2,logg,logg_err1,logg_err2,FeH,FeH_err1,FeH_err2
K00001,5730.0,102.6,-100.8,4.383,0.04,-0.041,0.019,0.144,-0.144
K00002,6436.5,138.2,-126.5,4.015,0.026,-0.029,0.221,0.121,-0.165
K00003,4778.00,86.00,-95.00,4.591,0.015,-0.036,0.3200,0.1500,-0.1500
K00004,6244.00,126.00,-114.00,3.657,0.270,-0.090,-0.1600,0.2000,-0.1500
K00005,5937.00,83.00,-65.00,4.012,0.030,-0.030,0.1600,0.1000,-0.1000
K00007,5795.00,69.00,-77.00,4.101,0.033,-0.027,0.1800,0.1500,-0.1500
K00010,6225.00,112.00,-137.00,4.169,0.055,-0.045,-0.0400,0.1500,-0.1500
K00012,6823.00,61.00,-92.00,4.308,0.024,-0.128,0.0700,0.1500,-0.1500
K00013,9107.00,242.00,-443.00,3.867,0.343,-0.147,0.0700,0.1500,-0.7000
K00017,5640.00,113.00,-101.00,4.236,0.055,-0.045,0.3400,0.1000,-0.1500
K00018,6290.00,125.00,-125.00,4.074,0.050,-0.050,0.0400,0.1500,-0.1500
K00020,5953.00,105.00,-129.00,4.175,0.168,-0.112,0.0800,0.1500,-0.1500
K00022,5972.00,72.00,-84.00,4.313,0.095,-0.116,0.2400,0.1500,-0.1500
K00041,5788.00,78.00,-78.00,4.122,0.033,-0.027,0.1000,0.1500,-0.1500
K00042,6407.00,76.00,-83.00,4.268,0.030,-0.030,0.0000,0.1500,-0.1500
K00046,5576.00,112.00,-101.00,4.065,0.196,-0.084,0.3000,0.1500,-0.1500
K00049,5900.00,105.00,-117.00,4.509,0.021,-0.119,0.0700,0.1500,-0.1500
K00063,5578.00,100.00,-111.00,4.518,0.035,-0.105,0.0400,0.1500,-0.1500
K00064,5302.00,71.00,-87.00,3.768,0.060,-0.045,0.0000,0.1000,-0.1000
K00069,5648.00,76.00,-76.00,4.472,0.030,-0.030,-0.2000,0.1500,-0.1500
K00070,5465.00,109.00,-109.00,4.449,0.085,-0.085,0.0200,0.1500,-0.1500
K00072,5676.00,85.00,-68.00,4.347,0.030,-0.030,-0.1200,0.1500,-0.1500
K00075,5903.00,79.00,-79.00,3.757,0.078,-0.052,-0.1400,0.1500,-0.1500
K00076,6711.00,149.00,-199.00,3.730,0.277,-0.092,0.0700,0.2500,-0.3000
K00080,8133.00,225.00,-338.00,3.715,0.413,-0.110,-0.0800,0.2500,-0.3500
K00082,4900.00,98.00,-98.00,4.602,0.017,-0.049,0.0800,0.1500,-0.1500
K00084,5546.00,100.00,-111.00,4.575,0.018,-0.102,-0.1400,0.1500,-0.1500
K00085,6181.00,68.00,-86.00,4.220,0.033,-0.027,0.1400,0.1500,-0.1500
K00087,5516.00,82.00,-74.00,4.446,0.104,-0.064,-0.2600,0.1500,-0.1500
K00089,6688.00,120.00,-147.00,4.062,0.174,-0.116,-0.2000,0.1500,-0.1500
K00092,5918.00,106.00,-130.00,4.403,0.080,-0.120,-0.0400,0.1500,-0.1500
K00094,6181.00,111.00,-135.00,4.234,0.143,-0.117,-0.0200,0.1500,-0.1500
K00097,6036.00,78.00,-72.00,3.968,0.020,-0.016,0.1000,0.1000,-0.1000
K00098,6372.00,76.00,-89.00,3.954,0.020,-0.020,0.0400,0.1500,-0.1500
K00099,4965.00,109.00,-89.00,4.555,0.048,-0.024,-0.2200,0.1600,-0.1400
K00100,6638.00,120.00,-133.00,3.664,0.195,-0.065,-0.1600,0.1500,-0.1000
K00102,5751.00,103.00,-114.00,4.391,0.080,-0.120,0.2100,0.1500,-0.1500
K00103,5650.00,101.00,-112.00,4.500,0.045,-0.105,-0.0400,0.1500,-0.1500
K00104,4780.00,95.00,-95.00,4.597,0.015,-0.051,0.3400,0.1000,-0.1500
K00105,5666.00,124.00,-102.00,4.362,0.156,-0.104,-0.4000,0.1500,-0.1000
K00107,5858.00,70.00,-79.00,4.112,0.024,-0.020,0.2200,0.1500,-0.1500
K00108,5880.00,78.00,-78.00,4.154,0.033,-0.027,0.0800,0.1500,-0.1500
K00110,6215.00,111.00,-136.00,4.305,0.080,-0.120,0.0800,0.1500,-0.1500
K00111,5979.00,108.00,-120.00,4.394,0.110,-0.110,-0.3400,0.1500,-0.1500
K00112,5833.00,105.00,-117.00,4.407,0.085,-0.114,-0.0400,0.1500,-0.1500
K00115,5779.00,104.00,-115.00,4.339,0.132,-0.108,-0.0600,0.1500,-0.1500
K00116,5854.00,105.00,-117.00,4.406,0.090,-0.110,-0.1200,0.1500,-0.1500
K00117,5847.00,64.00,-75.00,4.191,0.020,-0.018,0.2600,0.1000,-0.1000
K00118,5718.00,85.00,-77.00,4.181,0.018,-0.016,0.0000,0.1500,-0.1500
K00119,5626.00,89.00,-78.00,3.907,0.040,-0.036,0.3600,0.1000,-0.1500
K00122,5644.00,84.00,-75.00,4.162,0.033,-0.030,0.3000,0.1500,-0.1500
K00123,5945.00,71.00,-71.00,4.213,0.033,-0.027,-0.0800,0.1000,-0.1000
K00124,5869.00,117.00,-117.00,4.024,0.210,-0.105,-0.1600,0.1500,-0.1500
K00125,5510.00,98.00,-109.00,4.539,0.019,-0.110,0.1600,0.1500,-0.1500
K00126,5855.00,117.00,-117.00,3.999,0.196,-0.084,0.1600,0.1500,-0.1500
K00127,5524.00,110.00,-110.00,4.421,0.050,-0.045,0.2000,0.1500,-0.1500
K00128,5514.00,98.00,-109.00,4.459,0.051,-0.110,0.3600,0.1000,-0.1500
K00129,5313.00,328.00,-712.00,2.936,0.180,-0.180,0.5600,0.0500,-0.1500
K00131,6490.00,155.00,-232.00,4.320,0.067,-0.202,0.1600,0.2000,-0.3500
K00134,6038.00,120.00,-120.00,4.082,0.180,-0.120,0.3400,0.1000,-0.1500
K00135,6063.00,108.00,-145.00,4.261,0.055,-0.045,0.3400,0.1000,-0.1500
K00137,5356.00,112.00,-72.00,4.338,0.065,-0.040,0.2000,0.1500,-0.1000
K00139,5873.00,93.00,-129.00,4.293,0.120,-0.120,0.1800,0.1500,-0.1500
K00141,5340.00,106.00,-106.00,4.514,0.033,-0.104,0.3600,0.1000,-0.1500
K00142,5575.00,82.00,-116.00,4.521,0.019,-0.153,0.3600,0.0800,-0.1500
K00144,4957.00,100.00,-100.00,4.594,0.014,-0.060,0.2600,0.1500,-0.1500
K00148,5192.00,103.00,-103.00,4.489,0.066,-0.054,0.1800,0.1500,-0.1500
K00149,5774.00,115.00,-104.00,4.159,0.168,-0.098,0.1400,0.1500,-0.1500
K00150,5551.00,111.00,-111.00,4.508,0.077,-0.063,-0.4200,0.1500,-0.1500
K00151,6276.00,169.00,-206.00,4.405,0.087,-0.203,-0.3200,0.3000,-0.3000
K00152,6198.00,111.00,-136.00,4.237,0.130,-0.117,-0.0400,0.1500,-0.1500
K00153,4728.00,94.00,-94.00,4.628,0.012,-0.048,0.0400,0.1500,-0.1500
K00155,5746.00,115.00,-103.00,4.266,0.162,-0.108,-0.0800,0.1500,-0.1500
K00156,3980.00,79.00,-79.00,4.722,0.030,-0.033,-0.2000,0.1500,-0.1500
K00157,5657.00,113.00,-101.00,4.364,0.055,-0.045,0.0000,0.1500,-0.1500
K00159,5881.00,105.00,-117.00,4.315,0.115,-0.115,0.0700,0.1500,-0.1500
K00161,4989.00,90.00,-110.00,4.585,0.012,-0.064,0.3000,0.1500,-0.1500
K00162,5788.00,116.00,-116.00,4.323,0.132,-0.108,0.0000,0.1500,-0.1500
K00163,5078.00,101.00,-101.00,4.581,0.025,-0.053,0.0000,0.1500,-0.1500
K00165,5211.00,103.00,-103.00,4.556,0.032,-0.059,0.0000,0.1500,-0.1500
K00166,5207.00,103.00,-103.00,4.561,0.032,-0.063,0.0000,0.1500,-0.1500
K00167,6236.00,111.00,-124.00,4.246,0.110,-0.121,0.1200,0.1500,-0.1500
K00168,5761.00,86.00,-69.00,4.091,0.018,-0.018,0.0600,0.2000,-0.1500
K00171,6122.00,136.00,-124.00,4.173,0.168,-0.112,0.0200,0.1500,-0.1500
K00172,5637.00,113.00,-101.00,4.399,0.132,-0.088,-0.3000,0.1500,-0.1500
K00173,5705.00,114.00,-103.00,4.297,0.156,-0.104,0.0000,0.1500,-0.1500
K00174,4802.00,96.00,-96.00,4.582,0.049,-0.017,-0.2200,0.1500,-0.1500
K00176,6325.00,113.00,-138.00,4.188,0.125,-0.125,0.1600,0.1500,-0.1500
K00177,5706.00,114.00,-103.00,4.382,0.099,-0.110,0.0000,0.1500,-0.1500
K00179,6226.00,112.00,-124.00,4.264,0.115,-0.115,0.0000,0.1500,-0.1500
K00180,5632.00,101.00,-124.00,4.554,0.019,-0.110,-0.0400,0.1500,-0.1500
K00183,5561.00,74.00,-74.00,4.411,0.110,-0.090,-0.1000,0.1500,-0.1500
K00185,5875.00,161.00,-161.00,4.572,0.033,-0.187,-0.4200,0.3000,-0.3000
K00186,5823.00,69.00,-87.00,4.438,0.051,-0.127,0.1000,0.1500,-0.1500
K00188,5167.00,82.00,-82.00,4.527,0.040,-0.060,0.2400,0.1500,-0.1500
K00189,4939.00,148.00,-133.00,4.541,0.072,-0.044,-0.0600,0.3000,-0.3000
K00191,5422.00,108.00,-108.00,4.484,0.063,-0.077,0.0200,0.1500,-0.1500
K00192,5803.00,78.00,-78.00,4.134,0.201,-0.093,-0.1800,0.1500,-0.1500
K00194,6122.00,165.00,-201.00,4.471,0.052,-0.208,-0.1000,0.2500,-0.3500
K00195,5720.00,77.00,-77.00,4.473,0.063,-0.108,-0.2200,0.1500,-0.1500
K00196,5657.00,113.00,-113.00,4.441,0.050,-0.045,-0.0800,0.1500,-0.1500
K00197,4941.00,98.00,-98.00,4.599,0.018,-0.049,0.0000,0.1500,-0.1500
K00199,5927.00,80.00,-80.00,4.046,0.182,-0.098,0.1400,0.1500,-0.1500
K00200,6056.00,120.00,-144.00,4.191,0.060,-0.045,0.3600,0.1000,-0.2000
K00201,5574.00,100.00,-111.00,4.403,0.080,-0.120,0.4200,0.0500,-0.1500
K00202,5742.00,115.00,-115.00,4.297,0.055,-0.045,0.2600,0.1500,-0.1500
K00203,5624.00,101.00,-112.00,4.432,0.040,-0.049,0.3000,0.1000,-0.1500
K00204,5763.00,103.00,-114.00,4.150,0.055,-0.044,0.2600,0.1500,-0.1500
K00205,5215.00,158.00,-142.00,4.564,0.052,-0.078,-0.1600,0.3000,-0.3000
K00206,6332.00,82.00,-75.00,4.016,0.180,-0.120,0.0400,0.1500,-0.1500
K00208,6311.00,177.00,-243.00,4.398,0.054,-0.216,0.2100,0.2000,-0.3500
K00209,6163.00,123.00,-123.00,4.185,0.154,-0.112,-0.0600,0.1500,-0.1500
K00210,6126.00,171.00,-214.00,4.358,0.112,-0.192,-0.1200,0.2500,-0.3000
K00211,5822.00,79.00,-79.00,4.244,0.143,-0.104,0.1400,0.1500,-0.1500
K00212,6106.00,190.00,-233.00,4.497,0.052,-0.221,-0.2400,0.2500,-0.3000
K00214,5461.00,73.00,-82.00,4.499,0.023,-0.120,0.4400,0.0500,-0.1500
K00216,5064.00,83.00,-75.00,4.474,0.090,-0.030,0.1800,0.1500,-0.1500
K00217,5543.00,88.00,-121.00,4.540,0.017,-0.052,0.2100,0.1500,-0.1500
K00219,6002.00,120.00,-120.00,4.196,0.162,-0.108,0.0000,0.1500,-0.1500
K00220,5598.00,149.00,-166.00,4.565,0.036,-0.144,-0.1000,0.3000,-0.3000
K00221,5392.00,80.00,-72.00,4.314,0.165,-0.150,0.1800,0.1500,-0.1000
K00222,4090.00,447.00,-335.00,4.696,0.084,-0.056,-0.1800,0.1500,-0.1000
K00223,5303.00,159.00,-143.00,4.630,0.032,-0.097,-0.3800,0.3000,-0.3000
K00226,5022.00,80.00,-80.00,4.485,0.077,-0.033,0.1800,0.1500,-0.1500
K00227,3745.00,51.00,-59.00,4.784,0.070,-0.070,-0.0200,0.1000,-0.1000
K00229,5646.00,200.00,-220.00,4.370,0.128,-0.192,0.2200,0.2000,-0.3000
K00232,6038.00,121.00,-121.00,4.284,0.137,-0.112,-0.1600,0.1500,-0.1500
K00234,5997.00,181.00,-199.00,4.364,0.108,-0.201,0.0200,0.2500,-0.3000
K00235,5216.00,157.00,-157.00,4.580,0.028,-0.105,0.1400,0.2500,-0.3000
K00237,5767.00,104.00,-115.00,4.396,0.090,-0.110,0.0000,0.1500,-0.1500
K00238,6086.00,133.00,-133.00,4.274,0.137,-0.112,-0.1600,0.2000,-0.1500
K00239,5794.00,78.00,-78.00,4.282,0.137,-0.112,0.1400,0.1500,-0.1500
K00240,6228.00,172.00,-216.00,4.441,0.052,-0.208,-0.0800,0.2500,-0.3500
K00241,4983.00,100.00,-100.00,4.660,0.017,-0.052,-0.4400,0.1500,-0.1500
K00244,6267.00,81.00,-75.00,4.280,0.033,-0.030,-0.0600,0.1500,-0.1000
K00245,5437.00,73.00,-81.00,4.571,0.020,-0.030,-0.2400,0.1500,-0.1500
K00246,5790.00,78.00,-78.00,4.279,0.030,-0.027,0.0600,0.1500,-0.1500
K00247,3732.00,75.00,-83.00,4.736,0.052,-0.024,0.0200,0.1500,-0.1500
K00248,3834.00,77.00,-84.00,4.708,0.045,-0.021,-0.0200,0.1500,-0.1500
K00249,3547.00,71.00,-80.00,4.899,0.060,-0.060,-0.1400,0.1500,-0.1500
K00250,3879.00,77.00,-85.00,4.708,0.045,-0.021,-0.1200,0.1500,-0.1500
K00251,3808.00,76.00,-84.00,4.754,0.036,-0.036,-0.0600,0.1500,-0.1500
K00252,3744.00,75.00,-83.00,4.737,0.046,-0.028,0.0600,0.1500,-0.1500
K00253,3757.00,74.00,-82.00,4.681,0.039,-0.015,0.4800,0.0500,-0.1500
K00254,3793.00,76.00,-84.00,4.697,0.032,-0.020,0.3200,0.1500,-0.1500
K00255,3780.00,76.00,-83.00,4.746,0.042,-0.031,-0.0200,0.1500,-0.1500
K00257,6139.00,74.00,-86.00,4.359,0.012,-0.012,0.2000,0.1500,-0.1500
K00260,6214.00,113.00,-87.00,4.238,0.033,-0.027,-0.1600,0.1000,-0.1000
K00261,5683.00,114.00,-114.00,4.422,0.085,-0.114,0.0400,0.1500,-0.1500
K00262,6237.00,62.00,-74.00,4.136,0.033,-0.030,0.0000,0.1000,-0.0500
K00265,6007.00,121.00,-121.00,4.232,0.143,-0.117,0.0800,0.1500,-0.1500
K00266,5949.00,106.00,-118.00,4.272,0.120,-0.120,0.1800,0.1500,-0.1500
K00268,6342.00,86.00,-76.00,4.242,0.033,-0.030,-0.0600,0.1000,-0.1000
K00269,6477.00,103.00,-116.00,4.224,0.033,-0.027,0.1000,0.1000,-0.1500
K00270,5587.00,100.00,-58.00,4.091,0.011,-0.011,-0.1000,0.1000,-0.1000
K00271,6075.00,122.00,-97.00,4.264,0.012,-0.012,0.3200,0.1000,-0.1000
K00272,5918.00,163.00,-133.00,3.978,0.322,-0.138,-0.6200,0.3500,-0.2000
K00273,5720.00,77.00,-77.00,4.400,0.012,-0.012,0.3400,0.1000,-0.1500
K00274,6063.00,85.00,-73.00,4.061,0.030,-0.030,-0.1000,0.1000,-0.1000
K00275,5758.00,77.00,-68.00,4.072,0.033,-0.027,0.3000,0.1000,-0.1000
K00276,5978.00,71.00,-80.00,4.316,0.030,-0.030,0.0000,0.1500,-0.1500
K00277,5919.00,62.00,-71.00,4.042,0.030,-0.030,-0.2000,0.0500,-0.1000
K00279,6206.00,80.00,-74.00,4.159,0.048,-0.032,0.2200,0.1500,-0.2000
K00280,6147.00,73.00,-92.00,4.412,0.030,-0.027,-0.1800,0.1500,-0.1500
K00281,5671.00,111.00,-51.00,4.094,0.033,-0.027,-0.3600,0.1000,-0.1000
K00282,5903.00,70.00,-79.00,4.304,0.020,-0.018,-0.1600,0.1500,-0.1500
K00283,5680.00,102.00,-114.00,4.414,0.076,-0.114,0.1200,0.1500,-0.1500
K00284,5931.00,107.00,-118.00,4.322,0.137,-0.112,-0.2400,0.1500,-0.1500
K00285,5862.00,97.00,-80.00,4.050,0.033,-0.027,0.1600,0.1500,-0.1000
K00288,6150.00,73.00,-85.00,3.960,0.030,-0.027,0.2200,0.1500,-0.1500
K00289,5866.00,105.00,-105.00,4.117,0.195,-0.105,-0.2000,0.1500,-0.1500
K00291,5611.00,114.00,-91.00,4.144,0.195,-0.105,0.1600,0.1500,-0.1500
K00292,5780.00,103.00,-115.00,4.421,0.100,-0.100,-0.2000,0.1500,-0.1500
K00294,5929.00,107.00,-131.00,4.243,0.137,-0.125,0.3000,0.1000,-0.1500
K00295,5923.00,107.00,-131.00,4.377,0.099,-0.121,-0.1400,0.1500,-0.1500
K00296,5725.00,114.00,-103.00,4.326,0.137,-0.112,-0.0800,0.1500,-0.1500
K00297,6085.00,108.00,-145.00,4.218,0.120,-0.120,0.4800,0.0500,-0.1500
K00298,5250.00,105.00,-105.00,4.541,0.050,-0.045,-0.1600,0.1500,-0.1500
K00299,5533.00,110.00,nan,4.337,0.132,-0.108,0.1800,0.1500,-0.1500
K00301,6204.00,111.00,-136.00,4.269,0.084,-0.116,0.2600,0.1500,-0.1500
K00302,6967.00,167.00,-229.00,3.864,0.259,-0.111,-0.0200,0.2500,-0.3500
K00303,5638.00,113.00,-101.00,4.359,0.132,-0.096,-0.1200,0.1500,-0.1500
K00304,5767.00,92.00,-126.00,4.538,0.021,-0.119,-0.0600,0.1500,-0.1500
K00305,4783.00,95.00,-95.00,4.602,0.014,-0.046,0.1800,0.1500,-0.1500
K00306,5313.00,106.00,-106.00,4.571,0.015,-0.085,0.1200,0.1500,-0.1500
K00307,6023.00,120.00,-132.00,4.423,0.054,-0.126,-0.0800,0.1500,-0.1500
K00308,6212.00,111.00,-136.00,4.309,0.095,-0.116,-0.0400,0.1500,-0.1500
K00312,6156.00,111.00,-136.00,4.284,0.099,-0.121,0.1400,0.1500,-0.1500
K00313,5188.00,103.00,-103.00,4.547,0.040,-0.050,-0.0400,0.1500,-0.1500
K00314,3846.00,77.00,-84.00,4.738,0.052,-0.024,-0.2400,0.1500,-0.1500
K00315,4894.00,97.00,-97.00,4.637,0.015,-0.042,-0.2400,0.1500,-0.1500
K00316,5620.00,100.00,-112.00,4.333,0.115,-0.115,0.3400,0.1000,-0.1500
K00317,6336.00,113.00,-139.00,4.266,0.063,-0.117,0.3400,0.1000,-0.1500
K00318,6273.00,113.00,-126.00,4.040,0.174,-0.116,0.4400,0.0500,-0.1500
K00319,5877.00,88.00,-79.00,3.927,0.015,-0.013,0.0400,0.2000,-0.1500
K00321,5678.00,102.00,-124.00,4.484,0.030,-0.120,0.2600,0.1500,-0.1500
K00323,5423.00,108.00,-108.00,4.542,0.033,-0.083,-0.0600,0.1500,-0.1500
K00327,5945.00,106.00,-130.00,4.402,0.054,-0.117,0.1600,0.1500,-0.1500
K00330,5973.00,107.00,-131.00,4.386,0.080,-0.120,0.0000,0.1500,-0.1500
K00331,5548.00,110.00,nan,4.038,0.210,-0.090,0.1800,0.1500,-0.1500
K00332,5914.00,106.00,-130.00,4.396,0.040,-0.112,0.4600,0.0500,-0.1500
K00333,6534.00,156.00,-176.00,3.973,0.266,-0.114,-0.2600,0.3000,-0.2500
K00337,5747.00,115.00,-104.00,4.335,0.120,-0.108,0.0000,0.1500,-0.1500
K00338,4908.00,98.00,-98.00,4.567,0.028,-0.045,0.2200,0.1500,-0.1500
K00339,6078.00,121.00,-133.00,4.290,0.137,-0.112,-0.1600,0.1500,-0.1500
K00341,5497.00,109.00,-98.00,4.437,0.090,-0.090,0.0200,0.1500,-0.1500
K00343,5794.00,105.00,-117.00,4.263,0.156,-0.104,0.0700,0.1500,-0.1500
K00344,5607.00,101.00,-112.00,4.536,0.028,-0.112,-0.0400,0.1500,-0.1500
K00345,4883.00,97.00,-97.00,4.549,0.060,-0.020,-0.0800,0.1500,-0.1500
K00346,5103.00,102.00,-102.00,4.584,0.020,-0.056,0.0000,0.1500,-0.1500
K00348,4687.00,93.00,-93.00,4.627,0.015,-0.039,0.0000,0.1500,-0.1500
K00349,5725.00,104.00,-115.00,4.353,0.126,-0.103,0.0000,0.1500,-0.1500
K00350,5787.00,104.00,-116.00,4.402,0.090,-0.110,0.0000,0.1500,-0.1500
K00351,5970.00,107.00,-131.00,4.317,0.110,-0.121,0.1000,0.1500,-0.1500
K00352,5857.00,105.00,-117.00,4.204,0.176,-0.108,-0.0400,0.1500,-0.1500
K00353,6200.00,124.00,-124.00,4.072,0.188,-0.101,-0.0600,0.1500,-0.1500
K00354,5936.00,94.00,-130.00,4.501,0.019,-0.110,0.0700,0.1500,-0.1500
K00355,6045.00,121.00,-133.00,4.276,0.115,-0.126,0.1600,0.1500,-0.1500
K00356,5311.00,159.00,-159.00,3.864,0.749,-0.321,-0.4600,0.3000,-0.3000
K00361,5703.00,103.00,-125.00,4.498,0.021,-0.119,0.3600,0.1000,-0.1500
K00365,5559.00,110.00,-110.00,4.502,0.052,-0.090,-0.1000,0.1500,-0.1500
K00366,6201.00,138.00,-100.00,3.616,0.218,-0.073,0.2100,0.1500,-0.1000
K00367,5733.00,104.00,-115.00,4.442,0.063,-0.117,0.0800,0.1500,-0.1500
K00369,6070.00,134.00,-122.00,4.157,0.168,-0.112,-0.0800,0.1500,-0.1500
K00370,6143.00,97.00,-110.00,4.039,0.030,-0.030,0.1200,0.1000,-0.1000
K00372,5819.00,69.00,-87.00,4.334,0.132,-0.108,-0.0200,0.1500,-0.1500
K00373,5731.00,103.00,-115.00,4.451,0.095,-0.095,-0.3200,0.1500,-0.1500
K00374,5851.00,105.00,-117.00,4.302,0.156,-0.104,-0.2200,0.1500,-0.1500
K00377,5779.00,104.00,-127.00,4.491,0.030,-0.128,0.1200,0.1500,-0.1500
K00379,6078.00,122.00,-134.00,4.094,0.174,-0.116,0.1400,0.1500,-0.1500
K00384,6049.00,132.00,-120.00,3.769,0.224,-0.096,-0.0400,0.1500,-0.1500
K00385,5411.00,107.00,-107.00,4.477,0.070,-0.077,0.0000,0.1500,-0.1500
K00386,5951.00,107.00,-119.00,4.319,0.120,-0.120,-0.0200,0.1500,-0.1500
K00387,4538.00,90.00,-90.00,4.607,0.039,-0.015,-0.2000,0.1500,-0.1500
K00388,5687.00,114.00,-103.00,3.973,0.210,-0.090,0.0400,0.2000,-0.1500
K00392,6007.00,122.00,-122.00,4.178,0.162,-0.108,0.0700,0.1500,-0.1500
K00393,6156.00,123.00,-135.00,4.331,0.084,-0.126,0.0000,0.1500,-0.1500
K00396,5940.00,160.00,-178.00,4.199,0.246,-0.164,-0.1200,0.3000,-0.3000
K00398,5227.00,73.00,-83.00,4.535,0.033,-0.066,0.1400,0.1500,-0.1500
K00401,5376.00,107.00,-107.00,4.462,0.060,-0.090,0.2800,0.1500,-0.1500
K00408,5559.00,110.00,-110.00,4.470,0.068,-0.102,-0.0200,0.1500,-0.1500
K00409,5799.00,104.00,-116.00,4.361,0.110,-0.110,0.0000,0.1500,-0.1500
K00412,5818.00,158.00,-176.00,4.266,0.190,-0.171,-0.0200,0.2500,-0.3000
K00413,5456.00,164.00,-164.00,4.562,0.045,-0.135,-0.1000,0.3000,-0.3000
K00415,5663.00,112.00,-112.00,4.377,0.103,-0.115,0.0000,0.1500,-0.1500
K00416,5176.00,102.00,-102.00,4.612,0.016,-0.060,-0.1800,0.1500,-0.1500
K00417,5883.00,159.00,-176.00,4.530,0.037,-0.200,-0.1400,0.3000,-0.3000
K00420,4882.00,131.00,-146.00,4.558,0.066,-0.039,-0.1200,0.3000,-0.3000
K00421,5359.00,175.00,-159.00,4.425,0.136,-0.221,-0.0600,0.3000,-0.3000
K00423,6266.00,125.00,-125.00,4.101,0.182,-0.098,-0.2800,0.1500,-0.1500
K00426,6072.00,168.00,-210.00,4.328,0.132,-0.198,-0.1400,0.3000,-0.3000
K00427,5312.00,79.00,-79.00,4.384,0.137,-0.074,0.1600,0.1500,-0.1500
K00428,6490.00,129.00,-129.00,3.942,0.055,-0.049,0.0800,0.1500,-0.1500
K00429,5246.00,158.00,-142.00,4.501,0.102,-0.085,-0.2400,0.3000,-0.3000
K00430,4200.00,84.00,-84.00,4.664,0.022,-0.025,-0.1200,0.1500,-0.1500
K00431,5402.00,175.00,-159.00,4.452,0.126,-0.140,-0.2400,0.3000,-0.3000
K00432,6099.00,171.00,-214.00,4.456,0.056,-0.224,0.0200,0.2500,-0.3000
K00433,5234.00,103.00,-103.00,4.542,0.028,-0.083,0.3000,0.1500,-0.1500
K00435,5688.00,113.00,-101.00,4.415,0.100,-0.100,-0.1200,0.1500,-0.1500
K00436,5457.00,164.00,-147.00,4.548,0.028,-0.171,0.2000,0.2000,-0.3000
K00437,5119.00,154.00,-154.00,4.575,0.072,-0.048,-0.5000,0.3000,-0.3000
K00438,3984.00,71.00,-86.00,4.720,0.030,-0.030,-0.2200,0.1500,-0.1500
K00439,5400.00,107.00,-107.00,4.463,0.060,-0.097,0.2400,0.1500,-0.1500
K00440,5097.00,101.00,-101.00,4.554,0.036,-0.050,0.0800,0.1500,-0.1500
K00442,5767.00,115.00,-104.00,4.389,0.099,-0.110,-0.1200,0.1500,-0.1500
K00443,5837.00,158.00,-158.00,4.577,0.033,-0.187,-0.4400,0.3000,-0.3000
K00444,5550.00,110.00,-110.00,4.431,0.095,-0.095,0.0000,0.1500,-0.1500
K00446,4621.00,124.00,-137.00,4.605,0.052,-0.028,-0.2400,0.3000,-0.3000
K00448,3893.00,78.00,-85.00,4.758,0.040,-0.036,-0.2800,0.1500,-0.1500
K00452,6187.00,197.00,-241.00,4.409,0.087,-0.203,-0.2600,0.3000,-0.3000
K00454,5295.00,159.00,-143.00,4.566,0.037,-0.105,-0.0200,0.3000,-0.3000
K00456,5541.00,74.00,-74.00,4.332,0.137,-0.100,0.1400,0.1500,-0.1500
K00457,5076.00,101.00,-101.00,4.550,0.036,-0.050,0.1000,0.1500,-0.1500
K00458,4959.00,52.00,-119.00,2.332,0.161,-0.038,0.0700,0.0500,-0.3500
K00459,5815.00,157.00,-174.00,4.421,0.120,-0.180,-0.3000,0.3000,-0.3000
K00460,5433.00,81.00,-73.00,4.302,0.159,-0.116,0.1600,0.1500,-0.1000
K00463,3395.00,74.00,-67.00,4.970,0.072,-0.065,-0.1200,0.1500,-0.1500
K00464,5592.00,150.00,-166.00,4.467,0.065,-0.182,0.1600,0.2000,-0.3000
K00466,5944.00,79.00,-79.00,4.132,0.182,-0.098,0.1000,0.1500,-0.1500
K00467,5815.00,146.00,-160.00,4.540,0.037,-0.213,-0.1200,0.3000,-0.3000
K00468,5157.00,153.00,-153.00,4.500,0.093,-0.076,-0.0800,0.3000,-0.3000
K00469,6228.00,168.00,-205.00,4.441,0.065,-0.195,-0.0800,0.2500,-0.3500
K00470,5776.00,156.00,-174.00,4.512,0.036,-0.204,0.2100,0.2000,-0.3000
K00471,5395.00,80.00,-72.00,4.324,0.154,-0.112,0.1600,0.1500,-0.1000
K00472,5873.00,158.00,-158.00,4.554,0.036,-0.204,-0.3000,0.3000,-0.3000
K00473,5573.00,149.00,-166.00,4.562,0.030,-0.170,-0.0400,0.3000,-0.3000
K00474,5888.00,106.00,-117.00,4.342,0.115,-0.115,-0.1000,0.1500,-0.1500
K00475,5081.00,71.00,-81.00,4.596,0.012,-0.068,0.1200,0.1500,-0.1500
K00476,4768.00,85.00,-76.00,4.536,0.052,-0.017,0.1800,0.1500,-0.1500
K00477,5215.00,173.00,-157.00,4.518,0.048,-0.104,0.2800,0.1500,-0.3000
K00478,3744.00,75.00,-84.00,4.718,0.039,-0.021,0.2000,0.1500,-0.1500
K00479,5515.00,109.00,-109.00,4.453,0.076,-0.093,0.0000,0.1500,-0.1500
K00480,5480.00,164.00,-147.00,4.509,0.063,-0.147,-0.0400,0.3000,-0.3000
K00481,5409.00,162.00,-146.00,4.609,0.030,-0.120,-0.3000,0.3000,-0.3000
