koi_id,Teff,Teff_err1,Teff_err2,logg,logg_err1,logg_err2,FeH,FeH_err1,FeH_err2
K01841,5187.00,103.00,-103.00,4.592,0.014,-0.072,0.0000,0.1500,-0.1500
K01842,5602.00,166.00,-150.00,4.404,0.116,-0.188,0.1000,0.2500,-0.3000
K01843,3706.00,73.00,-92.00,4.747,0.033,-0.033,0.2600,0.1500,-0.1500
K01845,4883.00,146.00,-132.00,3.972,0.570,-0.380,0.5600,0.0500,-0.3000
K01846,5327.00,159.00,-159.00,4.581,0.035,-0.105,0.0200,0.2500,-0.3000
K01847,5329.00,159.00,-159.00,4.455,0.117,-0.143,-0.1400,0.3000,-0.3000
K01848,5938.00,71.00,-83.00,4.331,0.095,-0.116,0.1600,0.1500,-0.1500
K01849,5269.00,84.00,-73.00,4.494,0.060,-0.066,0.1400,0.1500,-0.1500
K01850,5907.00,105.00,-117.00,4.395,0.080,-0.120,0.0000,0.1500,-0.1500
K01851,5988.00,161.00,-197.00,4.507,0.050,-0.200,-0.1200,0.3000,-0.3000
K01852,6283.00,126.00,-113.00,4.129,0.168,-0.112,-0.0600,0.1500,-0.1500
K01853,6028.00,107.00,-131.00,4.459,0.024,-0.136,0.2100,0.1500,-0.1500
K01854,5550.00,110.00,-110.00,4.476,0.064,-0.096,0.0000,0.1500,-0.1500
K01856,5396.00,160.00,-144.00,4.035,0.504,-0.216,-0.0600,0.3000,-0.2500
K01857,5661.00,101.00,-112.00,4.471,0.056,-0.112,0.0000,0.1500,-0.1500
K01858,5354.00,106.00,-106.00,4.533,0.039,-0.072,0.0000,0.1500,-0.1500
K01860,5670.00,114.00,-114.00,4.397,0.095,-0.105,0.0600,0.1500,-0.1500
K01861,5815.00,78.00,-78.00,4.160,0.203,-0.101,-0.1800,0.1500,-0.1500
K01862,5534.00,110.00,nan,4.381,0.121,-0.099,0.0000,0.1500,-0.1500
K01863,6202.00,166.00,-203.00,4.436,0.054,-0.202,-0.0200,0.2500,-0.3500
K01864,5541.00,100.00,-111.00,4.472,0.056,-0.104,0.1200,0.1500,-0.1500
K01866,5534.00,110.00,-110.00,4.515,0.042,-0.098,0.0000,0.1500,-0.1500
K01867,3716.00,73.00,-83.00,4.740,0.056,-0.024,0.0400,0.1500,-0.1500
K01868,3826.00,76.00,-84.00,4.744,0.035,-0.035,-0.0600,0.1500,-0.1500
K01870,5185.00,170.00,-139.00,4.440,0.105,-0.192,0.1600,0.2500,-0.3000
K01871,4580.00,92.00,-92.00,4.641,0.012,-0.045,0.0800,0.1500,-0.1500
K01872,5518.00,166.00,-166.00,4.585,0.034,-0.136,-0.2000,0.3000,-0.3000
K01873,6194.00,196.00,-295.00,4.445,0.052,-0.195,0.0700,0.2500,-0.3000
K01874,4156.00,83.00,-91.00,4.712,0.027,-0.030,-0.4400,0.1500,-0.1500
K01875,5539.00,83.00,-74.00,4.244,0.174,-0.101,0.1400,0.1500,-0.1500
K01876,4316.00,86.00,-86.00,4.678,0.028,-0.023,-0.4400,0.1500,-0.1500
K01877,4975.00,99.00,nan,4.614,0.012,-0.054,0.0200,0.1500,-0.1500
K01878,6183.00,110.00,-134.00,4.301,0.066,-0.114,0.2600,0.1500,-0.1500
K01879,3828.00,76.00,-84.00,4.712,0.022,-0.032,0.3000,0.1500,-0.1500
K01880,3951.00,70.00,-86.00,4.730,0.028,-0.035,-0.1600,0.1500,-0.1500
K01881,5132.00,84.00,-76.00,4.457,0.084,-0.039,0.1600,0.1500,-0.1500
K01882,5714.00,77.00,-77.00,4.274,0.156,-0.104,0.1400,0.1500,-0.1500
K01883,6045.00,121.00,-134.00,4.069,0.188,-0.101,0.0200,0.1500,-0.1500
K01884,5275.00,184.00,-184.00,4.505,0.104,-0.095,-0.3000,0.3000,-0.3000
K01885,5988.00,161.00,-179.00,4.507,0.039,-0.221,-0.1200,0.3000,-0.3000
K01886,6157.00,124.00,-124.00,4.049,0.188,-0.101,-0.0200,0.1500,-0.1500
K01888,6469.00,103.00,-154.00,4.253,0.048,-0.104,0.4400,0.0500,-0.1500
K01889,5741.00,155.00,-155.00,4.555,0.034,-0.195,-0.1600,0.3000,-0.3000
K01890,6180.00,74.00,-80.00,4.133,0.015,-0.015,0.1200,0.1500,-0.1500
K01891,4891.00,78.00,-87.00,4.516,0.067,-0.018,0.1600,0.1500,-0.1500
K01892,5662.00,169.00,-152.00,4.560,0.042,-0.168,-0.1200,0.3000,-0.3000
K01893,6068.00,163.00,-181.00,4.565,0.036,-0.204,-0.5000,0.3000,-0.3000
K01894,4994.00,52.00,-89.00,3.433,0.020,-0.024,0.0800,0.1000,-0.1500
K01895,4347.00,117.00,-143.00,4.730,0.050,-0.041,-0.8400,0.3000,-0.3500
K01897,6214.00,173.00,-217.00,4.382,0.087,-0.217,-0.0200,0.2500,-0.3000
K01898,5727.00,104.00,-115.00,4.328,0.137,-0.112,0.0000,0.1500,-0.1500
K01899,6327.00,291.00,-542.00,4.327,0.158,-0.193,-0.1400,0.3000,-0.3000
K01900,4325.00,131.00,-131.00,4.680,0.059,-0.027,-0.6400,0.3000,-0.3000
K01901,5818.00,69.00,-86.00,4.065,0.202,-0.081,0.2400,0.1500,-0.1000
K01904,4987.00,99.00,nan,4.531,0.068,-0.023,-0.0800,0.1500,-0.1500
K01905,4955.00,100.00,-100.00,4.610,0.018,-0.046,-0.1000,0.1500,-0.1500
K01906,5416.00,160.00,-160.00,4.575,0.034,-0.136,-0.0400,0.3000,-0.3000
K01907,3597.00,72.00,-86.00,4.734,0.052,-0.017,0.4000,0.0500,-0.1500
K01908,4213.00,84.00,-84.00,4.669,0.024,-0.022,-0.2000,0.1500,-0.1500
K01909,5782.00,104.00,-115.00,4.340,0.126,-0.103,-0.0200,0.1500,-0.1500
K01910,5083.00,83.00,-76.00,4.468,0.088,-0.033,0.1800,0.1500,-0.1500
K01911,5445.00,180.00,-164.00,4.510,0.033,-0.176,0.4800,0.0500,-0.2500
K01913,5448.00,109.00,-109.00,4.489,0.063,-0.084,0.0000,0.1500,-0.1500
K01914,5015.00,164.00,-149.00,3.987,0.602,-0.258,0.3600,0.1000,-0.2500
K01915,5878.00,117.00,-117.00,4.005,0.196,-0.084,0.2400,0.1500,-0.1000
K01916,5865.00,105.00,-117.00,4.266,0.137,-0.112,0.1600,0.1500,-0.1500
K01917,5872.00,70.00,-79.00,4.332,0.103,-0.115,0.1000,0.1500,-0.1500
K01920,5483.00,166.00,-149.00,4.589,0.034,-0.136,-0.2200,0.3000,-0.3000
K01921,6384.00,70.00,-89.00,4.029,0.240,-0.129,0.1200,0.1500,-0.2000
K01922,5741.00,77.00,-77.00,4.331,0.115,-0.115,0.1600,0.1500,-0.1500
K01923,5411.00,107.00,-107.00,4.523,0.042,-0.084,0.0000,0.1500,-0.1500
K01925,5455.00,73.00,-82.00,4.497,0.027,-0.030,0.0600,0.1500,-0.1500
K01928,5798.00,104.00,-116.00,4.411,0.085,-0.114,0.0000,0.1500,-0.1500
K01929,5683.00,115.00,-104.00,4.108,0.195,-0.090,0.1000,0.1500,-0.1500
K01930,5951.00,80.00,-80.00,4.017,0.033,-0.030,-0.0800,0.2000,-0.1500
K01931,5353.00,80.00,-72.00,4.358,0.137,-0.100,0.1600,0.1500,-0.1000
K01932,6642.00,105.00,-157.00,4.057,0.174,-0.116,-0.0200,0.1500,-0.1500
K01933,5393.00,80.00,-72.00,4.299,0.165,-0.165,0.2000,0.1500,-0.1500
K01934,4774.00,86.00,-76.00,4.580,0.030,-0.030,0.1200,0.1500,-0.1500
K01937,4575.00,73.00,-82.00,4.564,0.051,-0.012,0.1800,0.1500,-0.1500
K01938,5162.00,103.00,-93.00,4.559,0.036,-0.054,0.0000,0.1500,-0.1500
K01939,5395.00,160.00,-144.00,4.615,0.035,-0.105,-0.3400,0.3000,-0.3000
K01940,4302.00,127.00,-127.00,4.661,0.056,-0.028,-0.4400,0.3000,-0.3000
K01942,5251.00,158.00,-158.00,4.592,0.032,-0.097,-0.0400,0.3000,-0.3000
K01943,6127.00,186.00,-186.00,4.055,0.252,-0.108,-0.1200,0.3000,-0.3000
K01944,5771.00,104.00,-115.00,4.374,0.105,-0.105,0.0600,0.1500,-0.1500
K01945,5123.00,81.00,-81.00,3.992,0.535,-0.094,0.2000,0.1500,-0.1500
K01946,5773.00,173.00,-208.00,4.478,0.067,-0.202,-0.0400,0.2500,-0.3000
K01947,6102.00,165.00,-183.00,4.447,0.070,-0.210,-0.0800,0.2500,-0.3000
K01950,5383.00,204.00,-185.00,4.603,0.030,-0.120,-0.2200,0.3000,-0.3000
K01951,4907.00,28.00,-108.00,2.410,0.184,-0.057,0.2100,0.1500,-0.0500
K01952,5616.00,76.00,-76.00,4.327,0.132,-0.108,0.1400,0.1500,-0.1500
K01955,6297.00,113.00,-126.00,4.260,0.090,-0.110,0.1400,0.1500,-0.2000
K01957,6823.00,61.00,-91.00,4.040,0.121,-0.148,0.3600,0.1000,-0.2000
K01958,5964.00,107.00,-131.00,4.484,0.040,-0.120,-0.2200,0.1500,-0.1500
K01959,4847.00,77.00,-77.00,4.540,0.052,-0.021,0.1400,0.1500,-0.1500
K01960,5808.00,105.00,-117.00,4.185,0.176,-0.108,0.1400,0.1500,-0.1500
K01961,5435.00,97.00,-119.00,4.578,0.010,-0.095,0.0700,0.1500,-0.1500
K01962,5899.00,79.00,-79.00,4.135,0.027,-0.027,-0.1200,0.1500,-0.1500
K01963,6072.00,169.00,-190.00,4.510,0.040,-0.216,-0.2400,0.3000,-0.3000
K01964,5587.00,110.00,-110.00,4.525,0.035,-0.105,-0.0600,0.1500,-0.1500
K01965,5662.00,152.00,-152.00,4.560,0.031,-0.168,-0.1200,0.3000,-0.3000
K01967,4766.00,77.00,-77.00,4.645,0.015,-0.039,-0.2400,0.1500,-0.1500
K01968,6310.00,168.00,-205.00,4.417,0.065,-0.195,-0.0600,0.2500,-0.3000
K01969,5730.00,77.00,-86.00,4.394,0.080,-0.120,0.1600,0.1500,-0.1500
K01970,5774.00,156.00,-173.00,4.447,0.081,-0.189,-0.1000,0.3000,-0.3000
K01971,5026.00,149.00,-149.00,4.604,0.020,-0.080,0.2100,0.2000,-0.3000
