kepid,kepmag,nkoi,rrmscdpp03p0,rrmscdpp06p0,rrmscdpp09p0,rrmscdpp12p0,rrmscdpp15p0,st_delivname
11194032,13.933,1,,,,,,q1_q12_stellar
11133306,11.854,1,,,,,,q1_q12_stellar
11134879,14.332,1,,,,,,q1_q12_stellar
11177543,14.310,1,,,,,,q1_q12_stellar
11198419,15.841,1,,,,,,q1_q12_stellar
11198723,15.445,1,,,,,,q1_q12_stellar
11246161,14.832,1,,,,,,q1_q12_stellar
11100383,13.524,1,,,,,,q1_q12_stellar
11124509,14.735,1,,,,,,q1_q12_stellar
11124703,15.319,1,,,,,,q1_q12_stellar
11145391,14.645,1,,,,,,q1_q12_stellar
11125936,15.507,1,,,,,,q1_q12_stellar
11145726,13.705,1,,,,,,q1_q12_stellar
11145831,15.167,1,,,,,,q1_q12_stellar
11147814,14.401,1,,,,,,q1_q12_stellar
11192141,10.523,1,,,,,,q1_q12_stellar
11192998,14.701,3,,,,,,q1_q12_stellar
11403389,14.976,1,,,,,,q1_q12_stellar
11285870,14.879,1,,,,,,q1_q12_stellar
11288492,14.572,1,,,,,,q1_q12_stellar
11308499,14.842,2,,,,,,q1_q12_stellar
11359305,13.363,1,,,,,,q1_q12_stellar
11338091,11.097,1,,,,,,q1_q12_stellar
11389771,14.271,3,,,,,,q1_q12_stellar
11390109,15.244,1,,,,,,q1_q12_stellar
11341266,13.074,1,,,,,,q1_q12_stellar
11341314,12.792,1,,,,,,q1_q12_stellar
11391667,12.923,1,,,,,,q1_q12_stellar
11253827,11.921,2,,,,,,q1_q12_stellar
11298815,15.510,1,,,,,,q1_q12_stellar
11348086,12.879,1,,,,,,q1_q12_stellar
11348997,15.535,1,,,,,,q1_q12_stellar
11259686,12.674,1,,,,,,q1_q12_stellar
11350634,12.795,1,,,,,,q1_q12_stellar
11553598,15.045,1,,,,,,q1_q12_stellar
11512246,13.438,3,,,,,,q1_q12_stellar
11559304,15.720,1,,,,,,q1_q12_stellar
11449844,13.779,1,,,,,,q1_q12_stellar
11493378,13.951,1,,,,,,q1_q12_stellar
11560431,9.694,1,,,,,,q1_q12_stellar
11495458,14.471,1,,,,,,q1_q12_stellar
11495766,13.391,1,,,,,,q1_q12_stellar
11495989,14.335,1,,,,,,q1_q12_stellar
11411639,15.804,1,,,,,,q1_q12_stellar
11519134,13.061,1,,,,,,q1_q12_stellar
11455484,16.152,1,,,,,,q1_q12_stellar
11456256,12.332,1,,,,,,q1_q12_stellar
11521048,14.917,1,,,,,,q1_q12_stellar
11501492,15.155,1,,,,,,q1_q12_stellar
11546211,15.155,1,,,,,,q1_q12_stellar
11442793,13.804,7,,,,,,q1_q12_stellar
11462556,11.270,1,,,,,,q1_q12_stellar
11598894,15.409,1,,,,,,q1_q12_stellar
11618569,14.199,1,,,,,,q1_q12_stellar
11618601,15.400,2,,,,,,q1_q12_stellar
11619964,14.545,1,,,,,,q1_q12_stellar
11709244,15.009,3,,,,,,q1_q12_stellar
11600889,12.521,1,,,,,,q1_q12_stellar
11716643,14.692,1,,,,,,q1_q12_stellar
11650401,15.923,1,,,,,,q1_q12_stellar
11671646,13.870,1,,,,,,q1_q12_stellar
11565544,14.698,1,,,,,,q1_q12_stellar
11652427,13.023,1,,,,,,q1_q12_stellar
11566064,13.374,3,,,,,,q1_q12_stellar
11612280,14.090,1,,,,,,q1_q12_stellar
11614808,13.086,1,,,,,,q1_q12_stellar
11615481,15.540,1,,,,,,q1_q12_stellar
11656302,14.626,1,,,,,,q1_q12_stellar
11656928,12.914,3,,,,,,q1_q12_stellar
11616434,15.789,1,,,,,,q1_q12_stellar
11657614,14.779,2,,,,,,q1_q12_stellar
11658036,13.964,1,,,,,,q1_q12_stellar
11661803,15.279,2,,,,,,q1_q12_stellar
11823054,14.707,2,,,,,,q1_q12_stellar
11872364,15.053,1,,,,,,q1_q12_stellar
11803074,15.887,1,,,,,,q1_q12_stellar
11875511,13.342,1,,,,,,q1_q12_stellar
11807906,13.856,1,,,,,,q1_q12_stellar
11853130,15.949,1,,,,,,q1_q12_stellar
