planet_name,disposition,koi_id,kic_id,npl,kep_mag,mstar,mstar_err1,mstar_err2,rstar,rstar_err1,rstar_err2,logrho,logrho_err1,logrho_err2,Teff,Teff_err1,Teff_err2,FeH,FeH_err1,FeH_err2,logg,logg_err1,logg_err2,limbdark_1,limbdark_2,period,period_err1,period_err2,epoch,epoch_err1,epoch_err2,prad,prad_err1,prad_err2,impact,impact_err1,impact_err2,depth,depth_err1,depth_err2,duration,duration_err1,duration_err2,ror,ror_err1,ror_err2,dor,dor_err1,dor_err2,snr,num_transits
K01590.02,CANDIDATE,K01590,5542466,3,15.674,0.7810,0.0510,-0.0250,0.8120,0.0270,-0.0580,0.3131342371390644,0.03525804834495749,-0.07246846185161038,4915.00,78.00,-88.00,0.1600,0.1500,-0.1500,4.512,0.072,-0.022,0.582,0.1451,2.355745050,1.0210000e-05,-1.0210000e-05,177.8882400,3.230000e-03,-3.230000e-03,1.34,4.000e-02,-1.000e-01,0.5000,0.0230,-0.4580,2.6690e+02,1.800e+01,-1.800e+01,1.79600,0.11500,-0.11500,0.015115,2.820000e-04,-1.194000e-03,8.880000,3.000000,-3.000000,17.00,421
K01590.03,CANDIDATE,K01590,5542466,3,15.674,0.7810,0.0510,-0.0250,0.8120,0.0270,-0.0580,0.3131342371390644,0.03525804834495749,-0.07246846185161038,4915.00,78.00,-88.00,0.1600,0.1500,-0.1500,4.512,0.072,-0.022,0.582,0.1451,4.746661280,2.7790000e-05,-2.7790000e-05,134.6378400,4.780000e-03,-4.780000e-03,1.30,4.000e-02,-9.000e-02,0.4410,0.0470,-0.4140,2.5680e+02,2.330e+01,-2.330e+01,2.09300,0.15600,-0.15600,0.014655,5.020000e-04,-1.212000e-03,15.840000,6.700000,-6.700000,12.50,192
K01591.01,CANDIDATE,K01591,10028140,1,15.372,0.8280,0.0700,-0.0960,0.7400,0.1120,-0.0600,0.4594864685772417,0.12307038750755134,-0.09212542057165324,5288.00,159.00,-143.00,-0.2400,0.3000,-0.3000,4.613,0.036,-0.090,0.49,0.2075,19.656393420,6.9860000e-05,-6.9860000e-05,140.2993700,2.660000e-03,-2.660000e-03,2.83,4.300e-01,-2.200e-01,0.9550,0.0040,-0.6640,8.4320e+02,3.730e+01,-3.730e+01,3.22600,0.21500,-0.21500,0.035083,3.300000e-04,-9.390000e-03,18.660000,9.300000,-9.300000,25.50,55
K01685.01,CANDIDATE,K01685,6049190,1,14.811,1.1620,0.1640,-0.1640,1.1310,0.3630,-0.1210,0.0539696042632361,0.22796060911745203,-0.12418805587139714,6461.00,158.00,-225.00,-0.1400,0.2500,-0.3000,4.396,0.067,-0.202,0.2947,0.3103,70.468171000,2.6800000e-04,-2.6800000e-04,189.1582200,3.450000e-03,-3.450000e-03,3.46,1.110e+00,-3.700e-01,0.0310,0.4330,-0.0310,9.2240e+02,2.390e+01,-2.390e+01,6.65300,0.12000,-0.12000,0.027996,8.330000e-04,-4.990000e-04,83.150000,1.400000,-1.400000,45.00,18
K01687.01,CONFIRMED,K01687,6198999,1,15.32,0.7560,0.0720,-0.0540,0.7790,0.0490,-0.0740,0.35306071346880324,0.06067314009054031,-0.10149337532409791,4841.00,144.00,-129.00,0.1000,0.2500,-0.3000,4.533,0.072,-0.044,0.6323,0.1054,3.932460690,1.0360000e-05,-1.0360000e-05,132.5543500,2.350000e-03,-2.350000e-03,1.65,1.000e-01,-1.600e-01,0.4160,0.0420,-0.4120,4.5550e+02,1.760e+01,-1.760e+01,2.17630,0.07420,-0.07420,0.019407,3.250000e-04,-1.060000e-03,12.870000,4.900000,-4.900000,30.60,347
K01688.01,CONFIRMED,K01688,6310636,1,14.542,1.1150,0.1190,-0.0950,1.6150,0.2520,-0.3460,-0.4280914216318955,0.1272883687557017,-0.26751980290411925,5843.00,79.00,-79.00,0.1400,0.1500,-0.1500,4.069,0.182,-0.084,0.4046,0.2638,0.921030497,2.9920000e-06,-2.9920000e-06,132.0317100,2.640000e-03,-2.640000e-03,1.62,2.500e-01,-3.500e-01,0.0250,0.4100,-0.0250,1.0150e+02,4.300e+00,-4.300e+00,2.60770,0.07900,-0.07900,0.009158,3.450000e-04,-2.180000e-04,2.786000,0.138000,-0.138000,27.00,1457
K01692.01,CONFIRMED,K01692,6616218,2,12.557,0.9780,0.0370,-0.0670,0.8860,0.1040,-0.0370,0.2971889801117392,0.09733515273122378,-0.0463780055230833,5418.00,98.00,-108.00,0.2800,0.1500,-0.1500,4.534,0.024,-0.102,0.4785,0.2193,5.960400011,4.3900000e-06,-4.3900000e-06,137.2651710,6.360000e-04,-6.360000e-04,2.85,3.300e-01,-1.200e-01,0.8000,0.0770,-0.5530,8.2830e+02,7.300e+00,-7.300e+00,2.86170,0.04410,-0.04410,0.029409,1.600000e-04,-2.785000e-03,10.350000,4.900000,-4.900000,126.10,104
K01472.01,CONFIRMED,K01472,7761545,1,15.061,0.9660,0.0500,-0.0550,0.9380,0.1270,-0.0540,0.21751990226359014,0.11074056347977612,-0.05997801533098071,5584.00,75.00,-83.00,0.1400,0.1500,-0.1500,4.478,0.045,-0.113,0.4603,0.2291,85.351487500,1.0290000e-04,-1.0290000e-04,161.0076080,9.390000e-04,-9.390000e-04,6.31,8.600e-01,-3.600e-01,0.0520,0.2270,-0.0520,4.6747e+03,3.660e+01,-3.660e+01,6.75040,0.04040,-0.04040,0.061610,7.340000e-04,-3.020000e-04,102.423700,0.075600,-0.075600,142.80,17
K01473.01,CANDIDATE,K01473,7499398,1,15.573,1.0460,0.0940,-0.1260,0.9560,0.2660,-0.0890,0.22730929868824537,0.20290215122184432,-0.10554496907861854,5613.00,166.00,-200.00,0.3200,0.1500,-0.3000,4.496,0.048,-0.192,0.4785,0.2193,23.020284780,2.7650000e-05,-2.7650000e-05,357.7861240,8.370000e-04,-8.370000e-04,7.58,2.110e+00,-7.100e-01,0.7940,0.0070,-0.4200,5.0778e+03,6.270e+01,-6.270e+01,3.54400,0.13100,-0.13100,0.072584,2.880000e-04,-7.385000e-03,35.800000,16.900000,-16.900000,97.20,45
K01474.01,CONFIRMED,K01474,12365184,1,13.005,1.3980,0.1210,-0.1210,1.7310,0.3150,-0.3150,-0.420232741231229,0.14366402199061562,-0.2161531745890336,6430.00,77.00,-83.00,0.2000,0.1500,-0.1500,4.107,0.149,-0.122,0.2981,0.3189,69.726466390,2.3800000e-05,-2.3800000e-05,196.0932430,2.760000e-04,-2.760000e-04,11.65,2.120e+00,-2.120e+00,0.0190,0.1490,-0.0190,4.4912e+03,1.740e+01,-1.740e+01,3.71770,0.01080,-0.01080,0.061648,2.460000e-04,-1.220000e-04,152.089000,0.177000,-0.177000,300.70,20
