koi_id,npl,limbdark_1,limbdark_2,epoch,period,prad,impact,rho,logsw4_0,logw0_0,logq_0,logsw4_1,logw0_1,logq_1,logsw4_2,logw0_2,logq_2,logsw4_3,logw0_3,logq_3
K03309,1.0,1.07163,-0.24481,178.69508,71.05125,7.87549,0.95698,0.11733,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
K01478,1.0,0.56505,0.22561,170.36971,76.14044,4.46659,0.35244,1.43285,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
K00219,1.0,0.28206,0.31532,137.42866,8.02512,8.22151,0.62417,0.87836,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
K00856,1.0,0.24343,0.44267,157.67108,39.74898,7.9046,0.16262,0.77471,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
K02683,1.0,1.14639,-0.32088,244.65201,126.44501,3.83033,0.77448,5.89105,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
K01457,1.0,0.46382,0.1638,357.12159,8.02751,8.4143,0.85933,2.0469,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
K00865,1.0,1.01534,-0.31013,176.79848,119.01666,7.68261,0.28673,2.08447,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
K01790,1.0,0.34071,0.36542,224.62441,130.35456,7.72233,0.80597,5.47839,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
K00429,1.0,0.54485,0.21281,134.8472,8.60007,4.13979,0.18285,1.49507,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
K03801,1.0,0.47636,0.05913,264.68717,288.29467,3.60944,0.3803,0.69091,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
K04756,1.0,0.45606,0.00337,131.72314,5.41693,8.28465,0.93934,1.1101,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
K01553,1.0,0.2196,0.51187,136.15529,52.75881,8.78675,0.33857,1.12722,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
K00621,1.0,1.30814,-0.43029,131.87401,17.76198,7.36268,0.96584,0.52554,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
K00212,1.0,0.33356,0.27535,137.04988,5.69594,6.76517,0.49282,1.57095,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
K01872,1.0,0.29144,0.46533,135.19223,3.81539,9.88592,0.58424,1.05108,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
K00777,1.0,0.46952,0.06777,158.12636,40.41951,7.67094,0.38722,2.01532,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
K00210,1.0,0.55118,-0.01134,135.51824,4.18547,4.38296,0.72232,0.39874,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
K00824,1.0,0.83318,-0.08159,198.50043,15.37549,13.2126,0.95717,1.33091,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
K05384,1.0,0.44755,0.09689,1277.8885,7.95333,9.94918,0.7037,0.39712,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
K04632,1.0,0.66254,-0.19809,368.84786,40.06916,5.57041,0.36087,1.77994,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
K00922,1.0,0.63546,-0.00325,154.20571,5.15448,1.75296,0.89049,41.07763,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
K01420,1.0,0.73076,-0.04063,357.98894,13.35149,4.43224,0.42345,2.20711,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
K02689,1.0,0.51345,-0.04877,276.48637,165.34468,6.98129,0.54574,2.04666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
K00716,1.0,0.66414,-0.07469,142.7932,26.89304,6.68712,0.84763,3.4687,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
K01066,1.0,0.32602,0.28661,352.82553,5.71482,9.55664,0.54749,1.15129,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
