,id_starname,id_kic,id_koicand,id_kepler_name,koi_disposition,koi_period,koi_period_err1,koi_period_err2,koi_time0,koi_time0_err1,koi_time0_err2,koi_impact,koi_impact_err1,koi_impact_err2,koi_duration,koi_duration_err1,koi_duration_err2,koi_ingress,koi_ingress_err1,koi_ingress_err2,koi_depth,koi_depth_err1,koi_depth_err2,koi_ror,koi_ror_err1,koi_ror_err2,koi_srho,koi_srho_err1,koi_srho_err2,koi_prad,koi_prad_err1,koi_prad_err2,koi_sma,koi_sma_err1,koi_sma_err2,koi_teq,koi_teq_err1,koi_teq_err2,koi_insol,koi_insol_err1,koi_insol_err2,koi_dor,koi_dor_err1,koi_dor_err2,koi_max_mult_ev,koi_model_snr,koi_count,koi_num_transits,koi_steff,koi_steff_err1,koi_steff_err2,koi_slogg,koi_slogg_err1,koi_slogg_err2,koi_smet,koi_smet_err1,koi_smet_err2,koi_srad,koi_srad_err1,koi_srad_err2,koi_smass,koi_smass_err1,koi_smass_err2,koi_sage,koi_sage_err1,koi_sage_err2,koi_sparprov,kic_kepmag,kic_jmag,kic_hmag,kic_kmag,cks_fp,cks_steff,cks_steff_err1,cks_steff_err2,cks_slogg,cks_slogg_err1,cks_slogg_err2,cks_smet,cks_smet_err1,cks_smet_err2,cks_svsini,cks_svsini_err1,cks_svsini_err2,iso_steff,iso_steff_err1,iso_steff_err2,iso_slogg,iso_slogg_err1,iso_slogg_err2,iso_smet,iso_smet_err1,iso_smet_err2,iso_srad,iso_srad_err1,iso_srad_err2,iso_smass,iso_smass_err1,iso_smass_err2,iso_sage,iso_sage_err1,iso_sage_err2,iso_slogage,iso_slogage_err1,iso_slogage_err2,iso_sparallax,iso_sparallax_err1,iso_sparallax_err2,iso_prad,iso_prad_err1,iso_prad_err2,iso_sma,iso_sma_err1,iso_sma_err2,iso_insol,iso_insol_err1,iso_insol_err2,iso_teq,iso_teq_err1,iso_teq_err2,exo_quadld_u1,exo_quadld_u2
184,K00266,7375348,K00266.01,Kepler-508 b,CONFIRMED,25.30889748,5.747E-05,-5.747E-05,2455004.506,0.00188,-0.00188,0.7101,0.0726,-0.4901,5.6829,0.0578,-0.0578,,,,155.4,2.9,-2.9,0.012212,9E-06,-0.000769,0.4372,0.65231,-0.01428,2.36,1.04,-0.81,0.1827,,,862,,,130.61,174.01,-82.32,24.6,12.2,-12.2,41.655724,61.6,2,,6283,181,-237,4.046,0.278,-0.241,-0.06,0.24,-0.3,1.768,0.783,-0.607,1.269,0.269,-0.262,,,,stellar_q1_q16,11.472,10.674,10.425,10.379,False,6149.5,60,-60,4.354,0.1,-0.1,-0.062,0.04,-0.04,5.6,1,-1,6148,67,-67,4.342,0.071,-0.091,-0.057,0.042,-0.043,1.173,0.145898497593,-0.0949440445736,1.109,0.0431387575157,-0.039761192135,3.46736850453,1.15670577458,-1.64230165118,9.54,0.125024801785,-0.278721222435,3.21,0.29,-0.35,1.56377141815,0.167073231334,-0.167073231334,0.174669905942,0.0029410989634,-0.0029410989634,57.9286021816,12.2595623751,-12.2595623751,703.050932155,37.131716169,-37.131716169,0,0
185,K00266,7375348,K00266.02,,CANDIDATE,47.7436033,0.0002785,-0.0002785,2454993.164,0.00513,-0.00513,0.3242,0.1299,-0.324,2.458,0.14,-0.14,,,,102.7,6.4,-6.4,0.009407,0.0002,-0.000567,23.68615,5.72907,-8.67021,1.82,0.8,-0.63,0.2789,,,698,,,56.05,74.67,-35.33,141.8,34.3,-34.3,14.131639,17.8,2,,6283,181,-237,4.046,0.278,-0.241,-0.06,0.24,-0.3,1.768,0.783,-0.607,1.269,0.269,-0.262,,,,stellar_q1_q16,11.472,10.674,10.425,10.379,False,6149.5,60,-60,4.354,0.1,-0.1,-0.062,0.04,-0.04,5.6,1,-1,6148,67,-67,4.342,0.071,-0.091,-0.057,0.042,-0.043,1.173,0.145898497593,-0.0949440445736,1.109,0.0431387575157,-0.039761192135,3.46736850453,1.15670577458,-1.64230165118,9.54,0.125024801785,-0.278721222435,3.21,0.29,-0.35,1.20312484902,0.133659140003,-0.133659140003,0.26679269628,0.0044524150574,-0.0044524150574,24.7760355511,5.33527861058,-5.33527861058,568.553686713,30.4669085733,-30.4669085733,0,0
188,K00270,6528464,K00270.01,Kepler-449 b,CONFIRMED,12.5822799,2.678E-05,-2.678E-05,2455008.022,0.00168,-0.00168,0.2608,0.1396,-0.2608,6.3287,0.0484,-0.0484,,,,115.6,2.1,-2.1,0.009798,0.000156,-0.000207,0.3897,0.06097,-0.05801,1.57,0.03,-0.04,0.1047,,,923,,,171.32,20.83,-18.92,14.83,2.3,-2.3,42.337875,62,2,,5588,99,,4.09,0.011,-0.011,-0.1,0.101,-0.101,1.467,0.033,-0.033,0.969,0.053,-0.053,,,,stellar_q1_q16,11.411,10.088,9.77,9.701,False,5633,60,-60,4.178,0.1,-0.1,-0.132,0.04,-0.04,3.7,1,-1,5626,68,-69,4.24,0.1,-0.13,-0.125,0.045,-0.044,1.21,0.241216997743,-0.161819776294,0.932,0.0580727956964,-0.0459505125107,9.54992586021,1.62464616964,-1.74373024362,9.98,0.068230899264,-0.0875605698702,4.47,0.67,-0.72,1.29657793362,0.217657121025,-0.217657121025,0.103450529148,0.00190132518365,-0.00190132518365,124.186797877,42.308346412,-42.308346412,850.71165614,72.4497257571,-72.4497257571,0,0
189,K00270,6528464,K00270.02,Kepler-449 c,CONFIRMED,33.67276962,9.12E-05,-9.12E-05,2454995.038,0.00229,-0.00229,0.0161,0.409,-0.0161,8.1686,0.0678,-0.0678,,,,169.8,3,-3,0.011785,0.000294,-0.000195,0.53975,0.01522,-0.14495,1.89,0.04,-0.04,0.2018,,,665,,,46.12,5.6,-5.1,31.864,0.898,-0.898,40.109295,60.9,2,,5588,99,,4.09,0.011,-0.011,-0.1,0.101,-0.101,1.467,0.033,-0.033,0.969,0.053,-0.053,,,,stellar_q1_q16,11.411,10.088,9.77,9.701,False,5633,60,-60,4.178,0.1,-0.1,-0.132,0.04,-0.04,3.7,1,-1,5626,68,-69,4.24,0.1,-0.13,-0.125,0.045,-0.044,1.21,0.241216997743,-0.161819776294,0.932,0.0580727956964,-0.0459505125107,9.54992586021,1.62464616964,-1.74373024362,9.98,0.068230899264,-0.0875605698702,4.47,0.67,-0.72,1.55521002433,0.259725337375,-0.259725337375,0.199372926135,0.00369551578602,-0.00369551578602,33.2363503856,11.3416550835,-11.3416550835,611.880845669,51.9736391899,-51.9736391899,0,0
190,K00271,9451706,K00271.01,Kepler-127 d,CONFIRMED,48.63038976,9.433E-05,-9.433E-05,2455005.547,0.00144,-0.00144,0.1662,0.2045,-0.1661,6.971,0.0489,-0.0489,,,,352.4,4.1,-4.1,0.017145,0.000241,-0.000217,1.2237,0.0531,-0.30763,2.54,0.07,-0.06,0.2799,,,593,,,29.33,3.73,-3.38,53.48,2.3,-2.3,56.084568,89,3,,6106,106,-106,4.263,0.012,-0.012,0.33,0.101,-0.101,1.359,0.035,-0.035,1.24,0.086,-0.086,,,,stellar_q1_q16,11.485,10.536,10.3,10.234,False,6124.9,60,-60,4.217,0.1,-0.1,0.24,0.04,-0.04,6.6,1,-1,6126,66,-67,4.23,0.095,-0.112,0.225,0.042,-0.044,1.41,0.241651070761,-0.162466119545,1.235,0.0789625860772,-0.0539823119179,3.31131121483,0.613898096958,-0.955089379924,9.52,0.0738628204521,-0.147783823757,2.86,0.38,-0.42,2.6340234899,0.379331692485,-0.379331692485,0.279812347079,0.00502345402249,-0.00502345402249,31.9848732186,9.41011258501,-9.41011258501,606.037760049,44.5254452704,-44.5254452704,0,0
191,K00271,9451706,K00271.03,Kepler-127 b,CONFIRMED,14.43594397,3.662E-05,-3.662E-05,2454974.511,0.00216,-0.00216,0.4265,0.024,-0.4265,3.4619,0.0609,-0.0609,,,,112.9,3.3,-3.3,0.00987,0.000128,-0.000361,2.25268,0.93038,-0.22016,1.46,0.04,-0.03,0.1245,,,890,,,148.23,18.85,-17.06,29.2,12,-12,25.56411,37.8,3,,6106,106,-106,4.263,0.012,-0.012,0.33,0.101,-0.101,1.359,0.035,-0.035,1.24,0.086,-0.086,,,,stellar_q1_q16,11.485,10.536,10.3,10.234,False,6124.9,60,-60,4.217,0.1,-0.1,0.24,0.04,-0.04,6.6,1,-1,6126,66,-67,4.23,0.095,-0.112,0.225,0.042,-0.044,1.41,0.241651070761,-0.162466119545,1.235,0.0789625860772,-0.0539823119179,3.31131121483,0.613898096958,-0.955089379924,9.52,0.0738628204521,-0.147783823757,2.86,0.38,-0.42,1.51761919113,0.220796106959,-0.220796106959,0.124525741567,0.00223241557372,-0.00223241557372,161.63841746,47.5200713137,-47.5200713137,908.656365981,66.6799730207,-66.6799730207,0,0
192,K00271,9451706,K00271.02,Kepler-127 c,CONFIRMED,29.39326982,4.479E-05,-4.479E-05,2455042.067,0.00116,-0.00116,0.1544,0.213,-0.1542,7.0086,0.0391,-0.0391,,,,317.7,3.2,-3.2,0.016274,0.000237,-0.000147,0.73021,0.02632,-0.1741,2.42,0.06,-0.07,0.2001,,,702,,,57.38,7.3,-6.6,32.19,1.2,-1.2,70.937416,108.5,3,,6106,106,-106,4.263,0.012,-0.012,0.33,0.101,-0.101,1.359,0.035,-0.035,1.24,0.086,-0.086,,,,stellar_q1_q16,11.485,10.536,10.3,10.234,False,6124.9,60,-60,4.217,0.1,-0.1,0.24,0.04,-0.04,6.6,1,-1,6126,66,-67,4.23,0.095,-0.112,0.225,0.042,-0.044,1.41,0.241651070761,-0.162466119545,1.235,0.0789625860772,-0.0539823119179,3.31131121483,0.613898096958,-0.955089379924,9.52,0.0738628204521,-0.147783823757,2.86,0.38,-0.42,2.50565796368,0.360739683669,-0.360739683669,0.200100964153,0.00356448755844,-0.00356448755844,62.7619436979,18.3706479366,-18.3706479366,717.278184632,52.8505074833,-52.8505074833,0,0
194,K00274,8077137,K00274.01,Kepler-128 b,CONFIRMED,15.08960174,4.426E-05,-4.426E-05,2455008.956,0.00229,-0.00229,0.0212,0.4421,-0.0211,4.2108,0.065,-0.065,,,,74.2,2.7,-2.7,0.007889,0.000289,-0.0002,1.74529,0.03233,-0.67834,1.43,0.03,-0.03,0.1263,,,971,,,209.9,20.78,-19.22,27.592,0.511,-0.511,16.35286,28.8,2,,6072,75,-75,4.07,0.011,-0.011,-0.09,0.101,-0.101,1.659,0.038,-0.038,1.184,0.074,-0.074,,,,stellar_q1_q16,11.39,10.373,10.094,10.109,False,6081.3,60,-60,4.091,0.1,-0.1,-0.032,0.04,-0.04,6.1,1,-1,6084,66,-68,4.113,0.1,-0.099,-0.018,0.037,-0.044,1.58,0.232160634045,-0.202481011455,1.168,0.0775995463904,-0.0533824840186,4.66659380314,0.85473735591,-0.913311288796,9.669,0.0730437960869,-0.094588744459,2.73,0.39,-0.34,1.36202684307,0.194463803794,-0.194463803794,0.12589129231,0.00238414157246,-0.00238414157246,193.131320253,55.5187916211,-55.5187916211,950.006777119,68.0454993924,-68.0454993924,0,0
195,K00274,8077137,K00274.02,Kepler-128 c,CONFIRMED,22.8029808,0.0001078,-0.0001078,2454986.378,0.0039,-0.0039,0.6427,0.2977,-0.4344,4.9916,0.0986,-0.0986,,,,66.4,3,-3,0.007846,0.001421,-0.000408,0.72433,0.74243,-0.55371,1.42,0.03,-0.03,0.1664,,,846,,,120.93,11.97,-11.08,27.1,9.3,-9.3,11.174345,22.9,2,,6072,75,-75,4.07,0.011,-0.011,-0.09,0.101,-0.101,1.659,0.038,-0.038,1.184,0.074,-0.074,,,,stellar_q1_q16,11.39,10.373,10.094,10.109,False,6081.3,60,-60,4.091,0.1,-0.1,-0.032,0.04,-0.04,6.1,1,-1,6084,66,-68,4.113,0.1,-0.099,-0.018,0.037,-0.044,1.58,0.232160634045,-0.202481011455,1.168,0.0775995463904,-0.0533824840186,4.66659380314,0.85473735591,-0.913311288796,9.669,0.0730437960869,-0.094588744459,2.73,0.39,-0.34,1.34029634258,0.246276190186,-0.246276190186,0.165854838919,0.00310292450396,-0.00310292450396,111.532588015,31.6070641533,-31.6070641533,828.159467479,58.5412990325,-58.5412990325,0,0
196,K00275,10586004,K00275.01,Kepler-129 b,CONFIRMED,15.79193725,3.573E-05,-3.573E-05,2455009.821,0.00165,-0.00165,0.1588,0.2627,-0.1587,7.2755,0.0493,-0.0493,,,,199.8,3,-3,0.012824,0.000277,-0.000178,0.34685,0.02497,-0.08084,2.3,0.07,-0.07,0.1305,,,903,,,156.86,19.7,-17.89,16.6,1.2,-1.2,48.447308,75.2,2,,5770,83,-83,4.082,0.011,-0.011,0.29,0.101,-0.101,1.641,0.051,-0.051,1.197,0.094,-0.094,,,,stellar_q1_q16,11.696,10.6,10.325,10.252,False,5808.5,60,-60,4.016,0.1,-0.1,0.256,0.04,-0.04,2.9,1,-1,5814,56,-62,4.056,0.088,-0.076,0.242,0.04,-0.04,1.71,0.232528793916,-0.212766632722,1.218,0.110713186207,-0.0942040848371,5.16416369272,1.64857460049,-1.12144821756,9.713,0.120321706127,-0.106326823078,2.41,0.34,-0.29,2.39432513098,0.31681557773,-0.31681557773,0.131566366063,0.00373665328209,-0.00373665328209,172.961716074,47.4610200609,-47.4610200609,924.168203946,62.9714115084,-62.9714115084,0,0
