tid,toi,toidisplay,toipfx,ctoi_alias,pl_pnum,tfopwg_disp,st_tmag,st_tmagerr1,st_tmagerr2,st_tmagsymerr,st_tmaglim,rastr,ra,raerr1,raerr2,rasymerr,decstr,dec,decerr1,decerr2,decsymerr,st_pmra,st_pmraerr1,st_pmraerr2,st_pmrasymerr,st_pmralim,st_pmdec,st_pmdecerr1,st_pmdecerr2,st_pmdecsymerr,st_pmdeclim,pl_tranmid,pl_tranmiderr1,pl_tranmiderr2,pl_tranmidsymerr,pl_tranmidlim,pl_orbper,pl_orbpererr1,pl_orbpererr2,pl_orbpersymerr,pl_orbperlim,pl_trandurh,pl_trandurherr1,pl_trandurherr2,pl_trandurhsymerr,pl_trandurhlim,pl_trandep,pl_trandeperr1,pl_trandeperr2,pl_trandepsymerr,pl_trandeplim,pl_rade,pl_radeerr1,pl_radeerr2,pl_radesymerr,pl_radelim,pl_insol,pl_insolerr1,pl_insolerr2,pl_insolsymerr,pl_insollim,pl_eqt,pl_eqterr1,pl_eqterr2,pl_eqtsymerr,pl_eqtlim,st_dist,st_disterr1,st_disterr2,st_distsymerr,st_distlim,st_teff,st_tefferr1,st_tefferr2,st_teffsymerr,st_tefflim,st_logg,st_loggerr1,st_loggerr2,st_loggsymerr,st_logglim,st_rad,st_raderr1,st_raderr2,st_radsymerr,st_radlim,sectors,toi_created,rowupdate,release_date
37862966,"2581.01","TOI-2581.01","2581","37862966.01",1,"PC",12.9754000,0.007,-0.007,1,0,"04h23m25.17s",65.8548720,,,,"-10d28m18.4s",-10.4717790,,,,17.5380000,0.033,-0.033,1,0,0.8570000,0.024,-0.024,1,0,2459192.5436480,0.000939,-0.000939,1,0,3.5838508,0.0000064,-0.0000064,1,0,3.0850000,0.2070000,-0.2070000,1,0,12480.0000000,3.4385700,-3.4385700,1,0,12.4141000,0.7052010,-0.7052010,1,0,409.7710000,,,,,1253.0000000,,,,,515.1790000,6.4760000,-6.4760000,1,0,5450.0000000,122.5000000,-122.5000000,1,0,4.3500000,0.0800000,-0.0800000,1,0,1.0800000,0.0600000,-0.0600000,1,0,,"2021-03-18 22:24:56","2024-10-29 12:02:50","2026-02-20 11:39:24"
21279791,"2582.01","TOI-2582.01","2582","21279791.01",1,"PC",12.4848000,0.006,-0.006,1,0,"18h29m10.03s",277.2917910,,,,"+48d03m35.78s",48.0599380,,,,10.7280000,2.091,-2.091,1,0,-5.4790000,2.092,-2.092,1,0,2459772.2862160,0.001353,-0.001353,1,0,3.0183134,0.0000037,-0.0000037,1,0,2.7800000,0.0580000,-0.0580000,1,0,8960.0000000,0.7999790,-0.7999790,1,0,9.1086500,,,1,0,388.4390000,,,,,,,,,,348.1350000,,,1,0,5238.0000000,,,1,0,,,,1,0,0.9300000,,,1,0,,"2021-03-18 22:24:57","2022-10-11 16:02:02","2026-02-20 11:39:24"
7548817,"2583.01","TOI-2583.01","2583","7548817.01",1,"CP",12.0453000,0.007,-0.007,1,0,"18h09m04.09s",272.2670290,,,,"+45d20m12.84s",45.3369000,,,,7.6820000,0.035,-0.035,1,0,5.0140000,0.039,-0.039,1,0,2459735.8960930,0.001151,-0.001151,1,0,4.5207400,0.0000088,-0.0000088,1,0,4.1750000,0.1370000,-0.1370000,1,0,8520.0000000,1.1898500,-1.1898500,1,0,13.7321000,0.6815700,-0.6815700,1,0,713.8590000,,,,,1440.0000000,,,,,566.1890000,6.3990000,-6.3990000,1,0,6050.0000000,127.6000000,-127.6000000,1,0,4.1400000,0.0800000,-0.0800000,1,0,1.4900000,0.0700000,-0.0700000,1,0,,"2021-03-18 22:24:57","2023-12-03 12:03:15","2026-02-20 11:39:24"
458641144,"2584.01","TOI-2584.01","2584","458641144.01",1,"PC",12.7310000,0.008,-0.008,1,0,"08h20m26.11s",125.1087960,,,,"+07d35m20.09s",7.5889130,,,,-4.1800000,0.050,-0.050,1,0,0.5610000,0.031,-0.031,1,0,2459245.2948000,0.001181,-0.001181,1,0,4.6965638,0.0000123,-0.0000123,1,0,3.0560000,0.1720000,-0.1720000,1,0,12380.0000000,5.0959800,-5.0959800,1,0,16.2589000,0.8387340,-0.8387340,1,0,459.9030000,,,,,1290.0000000,,,,,840.1010000,21.7810000,-21.7810000,1,0,6502.7000000,102.7000000,-102.7000000,1,0,4.2500000,0.0800000,-0.0800000,1,0,1.4300000,0.0700000,-0.0700000,1,0,,"2021-03-18 22:24:57","2024-01-23 12:02:45","2026-02-20 11:39:24"
62530991,"2585.01","TOI-2585.01","2585","62530991.01",1,"FP",9.8961000,0.006,-0.006,1,0,"08h50m10.01s",132.5417150,,,,"-02d58m46.71s",-2.9796430,,,,-70.1650000,0.070,-0.070,1,0,-85.3010000,0.048,-0.048,1,0,2459986.9422140,0.003638,-0.003638,1,0,4.0266483,0.0000176,-0.0000176,1,0,2.3120000,0.4870000,-0.4870000,1,0,754.0000000,42.6743000,-42.6743000,1,0,1.9018900,0.1221820,-0.1221820,1,0,213.7350000,,,,,1065.0000000,,,,,89.4090000,0.3272000,-0.3272000,1,0,5276.5000000,105.2000000,-105.2000000,1,0,4.6000000,0.0700000,-0.0700000,1,0,0.7800000,0.0400000,-0.0400000,1,0,,"2021-03-24 23:38:13","2023-03-06 10:10:02","2026-02-20 11:39:24"
458647887,"2586.01","TOI-2586.01","2586","458647887.01",1,"PC",10.5050000,0.007,-0.007,1,0,"08h21m41.15s",125.4214680,,,,"+06d20m05.8s",6.3349450,,,,-5.2720000,0.117,-0.117,1,0,-0.8200000,0.084,-0.084,1,0,2459242.4102110,0.005091,-0.005091,1,0,9.5835608,0.0000887,-0.0000887,1,0,2.4050000,0.4980000,-0.4980000,1,0,1150.0000000,620.0490000,-620.0490000,1,0,12.6233000,5.2732600,-5.2732600,1,0,372.1920000,,,,,1223.0000000,,,,,336.7330000,7.0565000,-7.0565000,1,0,5781.0000000,127.7000000,-127.7000000,1,0,3.8900000,0.0800000,-0.0800000,1,0,1.9100000,0.1000000,-0.1000000,1,0,,"2021-03-24 23:38:13","2022-04-19 12:02:07","2026-02-20 11:39:24"
68007716,"2587.01","TOI-2587.01","2587","68007716.01",1,"CP",10.9657000,0.006,-0.006,1,0,"07h43m43.61s",115.9317100,,,,"-01d04m24s",-1.0733330,,,,22.0110000,0.076,-0.076,1,0,-25.3350000,0.047,-0.047,1,0,2459244.7522320,0.001201,-0.001201,1,0,5.4566563,0.0000166,-0.0000166,1,0,3.7830000,0.2630000,-0.2630000,1,0,4160.0000000,1.2468600,-1.2468600,1,0,10.9408000,0.6525220,-0.6525220,1,0,381.0780000,,,,,1230.0000000,,,,,373.6750000,5.8625000,-5.8625000,1,0,5674.8000000,171.9000000,-171.9000000,1,0,4.0400000,0.0100000,-0.0100000,1,0,1.7200000,0.1000000,-0.1000000,1,0,,"2021-03-24 23:38:13","2023-12-03 12:03:15","2026-02-20 11:39:24"
284418751,"2588.01","TOI-2588.01","2588","284418751.01",1,"PC",10.6713000,0.006,-0.006,1,0,"07h16m12.01s",109.0500500,,,,"-45d12m53.46s",-45.2148510,,,,-5.7040000,0.047,-0.047,1,0,12.0710000,0.054,-0.054,1,0,2459962.8509220,0.001971,-0.001971,1,0,3.5871580,0.0000049,-0.0000049,1,0,1.2300000,0.1290000,-0.1290000,1,0,3120.0000000,2.9435400,-2.9435400,1,0,10.0104000,0.5344590,-0.5344590,1,0,177.3120000,,,,,1016.0000000,,,,,413.0580000,4.5535000,-4.5535000,1,0,6495.7000000,26.9000000,-26.9000000,1,0,4.2600000,0.4900000,-0.4900000,1,0,1.7500000,0.0700000,-0.0700000,1,0,,"2021-03-29 18:39:45","2023-07-12 16:02:01","2026-02-20 11:39:24"
157698565,"2589.01","TOI-2589.01","2589","157698565.01",1,"CP",10.7211000,0.006,-0.006,1,0,"07h09m57.16s",107.4881500,,,,"-37d13m51.41s",-37.2309480,,,,-18.9830000,0.035,-0.035,1,0,8.3220000,0.038,-0.038,1,0,2459973.6400120,0.003220,-0.003220,1,0,61.6277000,0.0001314,-0.0001314,1,0,6.4010000,0.2770000,-0.2770000,1,0,8878.0000000,1.6171900,-1.6171900,1,0,11.7392000,0.5668580,-0.5668580,1,0,21.7464000,,,,,601.0000000,,,,,200.2730000,0.8290000,-0.8290000,1,0,5581.0000000,229.7000000,-229.7000000,1,0,4.1600000,0.3700000,-0.3700000,1,0,1.0700000,0.0500000,-0.0500000,1,0,,"2021-03-29 18:41:38","2023-07-12 10:10:02","2026-02-20 11:39:24"
12862099,"259.01","TOI-259.01","259","12862099.01",1,"KP",12.3993000,0.007,-0.007,1,0,"00h15m36.79s",3.9032730,,,,"-11d56m17.75s",-11.9382640,,,,15.2810000,0.079,-0.079,1,0,-30.0470000,0.044,-0.044,1,0,2458386.5781180,0.000681,-0.000681,1,0,2.4238226,0.0001365,-0.0001365,1,0,2.2484015,0.0542733,-0.0542733,1,0,16167.1783697,301.4226700,-301.4226700,1,0,12.2562719,0.2481941,-0.2481941,1,0,549.9140520,,,,,1235.0753497,,,,,364.5120000,5.5730000,-5.5730000,1,0,5410.0000000,,,1,0,4.4791900,,,1,0,0.9300000,,,1,0,,"2018-11-30 22:06:23","2021-12-08 10:10:01","2026-02-20 11:39:24"
