0', '0.000000014515256
1', '0.000000041085774
2', '0.000000041742267
3', '0.000000055086684
4', '0.000000057983547
5', '0.000000049923930
6', '0.000000056437526
8', '0.000000060613409
9', '0.000000047034893
10', '0.000000054338726
12', '0.000000042660050
13', '0.000000042583562
14', '0.000000047410204
16', '0.000000060490845
17', '0.000000075269456
